Drawdown Period,Year Cycle,Number of Boards,Start Date,End Date,Start DOY,End DOY
1,1,8,1/1/20,1/14,1,14
2,1,9,1/15/20,6/30,15,181
3,1,8,7/1/20,7/14,182,195
4,1,7,7/15/20,7/31,196,212
5,1,6,8/1/20,8/14,213,226
6,1,5,8/15/20,8/31,227,243
7,1,4,9/1/20,11/30,244,334
8,1,6,12/1/20,12/14,335,348
9,1,7,12/15/21,12/31,349,365
1,2,8,1/1/21,1/14,1,14
2,2,9,1/15/21,6/30,15,181
3,2,8,7/1/21,7/14,182,195
4,2,7,7/15/21,7/31,196,212
5,2,6,8/1/21,8/14,213,226
6,2,5,8/15/21,11/30,227,334
7,2,6,12/1/21,12/14,335,348
8,2,7,12/15/21,12/31,349,365
1,3,8,1/1/22,1/14,1,14
2,3,9,1/15/22,6/30,15,181
3,3,8,7/1/22,7/14,182,195
4,3,7,7/15/22,7/31,196,212
5,3,6,8/1/22,8/14,213,226
6,3,5,8/15/22,11/30,227,334
7,3,6,12/1/22,12/14,335,348
8,3,7,12/15/22,12/31,349,365
