Date (mm-dd-yyyy),Site,Arrival time,Leave Time,Wait at Access,Group Size,Description of Activity,,,,,,,,,,,,,,,,,3012019,#N/A,#N/A,,#N/A,#N/A
6/15/2019,1,9:15,9:17,0:02,1,Photography,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,1,9:15,10:15,1:00,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,1,9:20,9:50,0:30,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,1,9:55,9:55,0:00,3,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,7:00,8:30,1:30,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,7:00,7:35,0:35,3,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,7:00,9:00,2:00,,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,7:00,9:00,2:00,,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,7:30,9:00,1:30,1,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,2,8:05,9:00,0:55,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:30,11:46,0:16,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:30,11:33,0:03,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:30,11:50,0:20,2,Photography,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:30,11:50,0:20,1,Photography,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:49,12:28,0:39,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,11:55,12:06,0:11,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,12:16,12:20,0:04,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,12:24,13:17,0:53,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,13:16,13:23,0:07,4,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,13:16,13:23,0:07,3,Walking,,,,,,,,,,,,,,,,,,,,,,
6/15/2019,3,13:22,13:30,0:08,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,1,11:30,13:30,2:00,2,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,1,11:59,12:18,0:19,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,1,12:55,12:58,0:03,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,1,12:54,13:30,0:36,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,2,7:00,9:00,2:00,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,2,7:00,9:00,2:00,1,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,2,7:00,9:00,2:00,1,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,2,8:51,9:00,0:09,2,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,3,9:15,11:15,2:00,3,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,3,10:34,10:43,0:09,1,WCS Fishing,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,1,2:45,3:05,0:20,,Walking,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,2,16:15,16:52,0:37,1,Walking,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,2,16:53,16:57,0:04,2,Boat Fishing,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,2,17:29,18:15,0:46,1,Kayaking,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,2,17:55,18:15,0:20,1,Kayaking,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,2,18:15,18:15,0:00,2,Walking,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,3,18:30,20:30,2:00,1,Bank Fishing,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,3,19:18,20:30,1:12,1,Photography,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,3,19:18,20:30,1:12,1,Photography,,,,,,,,,,,,,,,,,,,,,,
