Date,Month,Time ,Weather,Air Temperature,Creel Start Time,County/State,Time Started,Time Interviewed,Hours Fished,DecimalTime,Total Effort,Num. in Party,Bank/Boat 0=Bank 1=Boat,Spp. Sought,Spp. Caught,# Kept,Weight (kg),# Released,Total Caught,Crappie Caught,Catfish Caught,Bass Caught,Bream Caught,Location,Method,Catch/Release,Smallest fish you would keep,Complete/Incomplete,Creel Type,Notes (50 char. max),,,,,,0.65,,,,,,
3/1/2019,March,3,Cloudy,50,3,Oktibbeha,13:00,14:13,1:13,1.22,2.44,2,0,Crappie/ Bass,Bass,0,,1,1,0,0,1,,,,,"6"" release",,Roving,"6"" release",,,,,,,,,,,,
3/1/2019,March,3,Cloudy,50,3,Choctaw,13:00,14:13,1:13,1.22,1.22,1,0,Crappie,Crappie,0,,1,1,1,0,0,,,,Yes,,,Roving,catch & release ~2lb crappie,,,,,,,,,,,,
3/1/2019,March,3,Cloudy,50,3,Clay,13:30,14:13,0:43,0.72,1.44,2,0,Crappie/ Bass,None,0,,0,0,0,0,0,,,,,,,Roving,,,,,,,,,,,,,
3/1/2019,March,3,Cloudy,50,3,NA,14:30,15:36,1:06,1.1,1.1,1,0,Crappie,Bream,0,,1,1,0,0,0,1,,,,,,Roving,"Reased ""several"" bream",,,,Effort,Catch Bass,Catch Bream,Catch Crappie,Total Catch,CPUE ALL,CPUE Bass,CPUE Bream,CPUE Crappie
3/1/2019,March,3,Cloudy,50,3,NA,9:00,15:37,6:37,6.62,6.62,1,0,Crappie,None,0,,0,0,0,0,0,,,,,,,Roving,,,,March,72.96,11,9,63,83,1.137609649,0.150767544,0.123355263,0.863486842
3/1/2019,March,3,Cloudy,50,3,Winston,6:00,15:52,9:52,9.87,9.87,1,0,Bass,Bass,6,,3,9,0,0,9,,,,,1 lb bass,,Roving,6 Largemouth Bass,,,April,19.3,0,5,1,6,0.310880829,0,0.259067358,0.051813472
3/1/2019,March,3,Cloudy,50,3,Oktibbeha,16:00,16:09,0:09,0.15,0.15,1,0,Crappie/ Bass,Crappie/Bream,9,4.1,20,29,28,0,0,1,,,,,,Roving,5 White Crapppie2.6kg,,,May,4.8,0,21,0,21,4.375,0,4.375,0
3/1/2019,March,3,Cloudy,50,3,Oktibbeha,17:00,17:58,0:58,0.97,0.97,1,0,Crappie,Crappie,1,0.4,0,1,1,0,0,,,,,,,Roving,1 White Crappie 0.4kg,,,June,33.49,0,105,0,105,3.135264258,0,3.135264258,0
3/1/2019,March,3,Cloudy,50,3,Choctaw,6:00,15:23,9:23,9.38,9.38,1,1,Crappie,Crappie/Bass,11,6.4,2,13,11,0,1,,,,,,,Roving,5 BC at 3kg,,,July,6.96,0,3,0,3,0.431034483,0,0.431034483,0
3/3/2019,March,7,Rain,44,7,Winston,6:20,7:27,1:07,1.12,1.12,1,0,Bass,Crappie,1,1,0,1,1,0,0,,,,,,,Roving,1 Black Crappie,,,August,11.79,0,43,0,43,3.647158609,0,3.647158609,0
