Date,Month,Time ,Weather,Air Temperature,Creel Start Time,County/State,Time Started,Time Interviewed,Hours Fished,DecimalTime,Total Effort,Num. in Party,Bank/Boat 0=Bank 1=Boat,Spp. Sought,Spp. Caught,# Kept,Weight (kg),# Released,Total Caught,CPUE,Crappie Caught,Catfish Caught,Bass Caught,Bream Caught,Location,Method,Catch/Release,Smallest fish you would keep,Complete/Incomplete,Creel Type,Notes (50 char. max),,,,,,0.65
3/3/2019,March,7,Rain,44,7,Oktibbeha,7:30,7:50,0:20,0.33,0.33,1,0,Crappie,None,0,,0,0,0,0,0,0,,,,,,,Roving,,,,,,,
3/3/2019,March,7,Rain,44,7,Choctaw,7:00,7:23,0:23,0.38,0.38,1,1,Crappie,Crappie,1,,0,1,2.631578947,1,0,0,,,,,,,Roving,,,,,,,
4/21/2019,April,11,Sunny,71,11,Oktibbeha,11:00,11:23,0:23,0.38,0.38,1,0,Bream,None,0,,0,0,0,0,0,0,,1,,No,Any,,Roving,,,,,,,
5/8/2019,May,7,Sunny,59,7,Oktibbeha,7:15,7:39,0:24,0.4,0.8,2,0,Bream,None,0,,0,0,0,0,0,0,,1,1 pole/person,No,,,Roving,,,,,,,
10/6/2019,october,3,Cloudy,83,3,Oktibbeha,14:50,15:15,0:25,0.41,0.41,1,0,Crappie,Crappie,0,,0,0,0,0,0,0,0,1,1 pole per person,yes,n/a,incomplete,Roving,,,,,,,
6/21/2019,June,4,Sunny,92,2,Winston,18:10,18:37,0:27,0.45,0.45,1,0,Bass/Bream,None,0,,0,0,0,0,0,0,,3,,Yes,,Complete,Bus,,,,,,,
6/24/2019,June,4,Sunny,87,2,Noxubee,17:30,17:57,0:27,0.45,0.9,2,0,Bream,None,0,,0,0,0,0,0,0,,2,1 pole/person,No,"6""",Complete,Bus,,,,,,,
3/17/2019,March,7,Sunny,37,7,Oktibbeha,10:30,10:58,0:28,0.47,0.47,1,0,Any,None,0,,0,0,0,0,0,0,,3,,,,,Roving,,,,,,,
3/29/2019,March,3,Sunny,77,3,Oktibbeha,15:00,15:28,0:28,0.47,0.47,1,0,Any,None,0,,0,0,0,0,0,0,,,1 pole/person,,,,Roving,,,,,,,
4/21/2019,April,11,Sunny,71,11,Oktibbeha,11:00,11:28,0:28,0.47,0.94,2,0,Bream,None,0,,0,0,0,0,0,0,,1,,Yes,N/A,,Roving,,,,,,,
