OBJECTID,Join_Count,TARGET_FID,DO,POINT_X,POINT_Y,Temp,Elevation
1,1,1,8.3360579,333625.6178,3682667.015,28.31575901,67.5475922
8,1,8,8.348618137,333595.6178,3682697.015,28.34348314,67.5786972
10,1,10,8.369527392,333625.6178,3682697.015,28.35317222,67.2198486
12,1,12,8.388465773,333655.6178,3682697.015,28.35901666,67.362442
25,1,25,8.363060679,333565.6178,3682727.015,28.37321833,67.5985184
27,1,27,8.387486997,333595.6178,3682727.015,28.38818462,67.1290436
29,1,29,8.40683259,333625.6178,3682727.015,28.39598534,67.088356
31,1,31,8.423314521,333655.6178,3682727.015,28.39837028,67.0381699
33,1,33,8.439915971,333685.6178,3682727.015,28.39818302,67.3203964
53,1,53,8.408082719,333565.6178,3682757.015,28.42508506,67.2826004
55,1,55,8.432675032,333595.6178,3682757.015,28.44073553,67.0372696
57,1,57,8.44928001,333625.6178,3682757.015,28.44581176,67.100502
59,1,59,8.461331947,333655.6178,3682757.015,28.44286733,66.9658966
61,1,61,8.473856731,333685.6178,3682757.015,28.4365294,67.1422882
63,1,63,8.491504899,333715.6178,3682757.015,28.4318031,67.0015564
65,1,65,8.516747887,333745.6178,3682757.015,28.43227498,67.2920914
67,1,67,8.549013791,333775.6178,3682757.015,28.43904973,67.3934631
69,1,69,8.584852348,333805.6178,3682757.015,28.45061588,67.3657074
95,1,95,8.422580215,333535.6178,3682787.015,28.45362984,67.6056519
97,1,97,8.461068989,333565.6178,3682787.015,28.4858167,67.1305313
99,1,99,8.486299933,333595.6178,3682787.015,28.50319457,67.1255188
101,1,101,8.498596263,333625.6178,3682787.015,28.50455648,67.0878754
103,1,103,8.503186562,333655.6178,3682787.015,28.49354522,66.9525375
105,1,105,8.508537245,333685.6178,3682787.015,28.47775824,67.0113831
107,1,107,8.522639339,333715.6178,3682787.015,28.46552776,67.0876846
109,1,109,8.549803604,333745.6178,3682787.015,28.46268132,66.9644394
111,1,111,8.589377425,333775.6178,3682787.015,28.47091712,66.9363785
113,1,113,8.63602756,333805.6178,3682787.015,28.48770149,67.064827
115,1,115,8.681084192,333835.6178,3682787.015,28.50716152,67.1539993
117,1,117,8.715191243,333865.6178,3682787.015,28.52204461,67.395546
119,1,119,8.715935581,333985.6178,3682787.015,28.49562217,67.234024
121,1,121,8.717044297,334015.6178,3682787.015,28.49053588,67.2147293
123,1,123,8.731004415,334045.6178,3682787.015,28.49595865,67.1979675
125,1,125,8.75615807,334075.6178,3682787.015,28.51164408,67.1804504
127,1,127,8.786076523,334105.6178,3682787.015,28.53437578,67.1635742
129,1,129,8.81132466,334135.6178,3682787.015,28.55977334,67.1439743
131,1,131,8.822899093,334165.6178,3682787.015,28.58532204,67.5634079
133,1,133,8.817005835,334195.6178,3682787.015,28.61381584,67.0927277
135,1,135,8.781408844,334375.6178,3682787.015,28.95211636,67.0066147
137,1,137,8.765963583,334405.6178,3682787.015,28.86601195,66.7203369
195,1,195,8.476011242,333535.6178,3682817.015,28.51379997,67.2841492
197,1,197,8.523007864,333565.6178,3682817.015,28.55576492,67.1033325
199,1,199,8.550279343,333595.6178,3682817.015,28.57695239,67.1539993
201,1,201,8.556449894,333625.6178,3682817.015,28.57364155,67.0749207
203,1,203,8.549271733,333655.6178,3682817.015,28.55083828,67.0832138
205,1,205,8.542912117,333685.6178,3682817.015,28.52103847,67.0566406
207,1,207,8.550755576,333715.6178,3682817.015,28.49791866,67.0433578
209,1,209,8.579880317,333745.6178,3682817.015,28.49059894,67.0950775
211,1,211,8.629647894,333775.6178,3682817.015,28.50160092,67.0404587
213,1,213,8.692373135,333805.6178,3682817.015,28.52710064,66.9540024
215,1,215,8.754600766,333835.6178,3682817.015,28.55783662,67.1150589
217,1,217,8.800354175,333865.6178,3682817.015,28.58140152,67.0519714
