,X,DO,POINT_X,POINT_Y,Temp
1,141,8.3360579,333625.6178,3682667.015,28.31575901
2,142,8.346261002,333640.6178,3682667.015,28.3200871
3,341,8.341987732,333610.6178,3682682.015,28.32917155
4,342,8.352377896,333625.6178,3682682.015,28.3338753
5,343,8.362339926,333640.6178,3682682.015,28.3377464
6,344,8.372048143,333655.6178,3682682.015,28.34095564
7,540,8.336954971,333580.6178,3682697.015,28.33679384
8,541,8.348618137,333595.6178,3682697.015,28.34348314
9,542,8.359422161,333610.6178,3682697.015,28.34890083
10,543,8.369527392,333625.6178,3682697.015,28.35317222
11,544,8.379133817,333640.6178,3682697.015,28.35647276
12,545,8.388465773,333655.6178,3682697.015,28.35901666
13,546,8.397753006,333670.6178,3682697.015,28.36104106
14,740,8.343008663,333565.6178,3682712.015,28.35016353
15,741,8.355782504,333580.6178,3682712.015,28.35836308
16,742,8.367379272,333595.6178,3682712.015,28.36497566
17,743,8.37792893,333610.6178,3682712.015,28.37007582
18,744,8.387629454,333625.6178,3682712.015,28.37381261
19,745,8.39673437,333640.6178,3682712.015,28.37640273
20,746,8.405532782,333655.6178,3682712.015,28.37811589
21,747,8.41432405,333670.6178,3682712.015,28.37925381
22,748,8.423390186,333685.6178,3682712.015,28.38012538
23,749,8.432969327,333700.6178,3682712.015,28.3810212
24,940,8.348628295,333550.6178,3682727.015,28.36291487
25,941,8.363060679,333565.6178,3682727.015,28.37321833
26,942,8.375995666,333580.6178,3682727.015,28.38164795
27,943,8.387486997,333595.6178,3682727.015,28.38818462
28,944,8.397684855,333610.6178,3682727.015,28.39290503
29,945,8.40683259,333625.6178,3682727.015,28.39598534
30,946,8.415251476,333640.6178,3682727.015,28.39769348
31,947,8.423314521,333655.6178,3682727.015,28.39837028
32,948,8.431412387,333670.6178,3682727.015,28.39840125
33,949,8.439915971,333685.6178,3682727.015,28.39818302
34,950,8.449140505,333700.6178,3682727.015,28.39808881
35,951,8.459315432,333715.6178,3682727.015,28.3984372
36,952,8.470562966,333730.6178,3682727.015,28.39946743
37,1141,8.369716516,333550.6178,3682742.015,28.38715497
38,1142,8.384679881,333565.6178,3682742.015,28.39812586
39,1143,8.397816365,333580.6178,3682742.015,28.40687526
40,1144,8.409166522,333595.6178,3682742.015,28.41335085
41,1145,8.418899911,333610.6178,3682742.015,28.41762559
42,1146,8.427313948,333625.6178,3682742.015,28.41990574
43,1147,8.434815483,333640.6178,3682742.015,28.42052278
44,1148,8.441886227,333655.6178,3682742.015,28.41990871
45,1149,8.449036563,333670.6178,3682742.015,28.41855805
46,1150,8.456754514,333685.6178,3682742.015,28.41698193
47,1151,8.46545712,333700.6178,3682742.015,28.41566126
48,1152,8.475450216,333715.6178,3682742.015,28.41500498
49,1153,8.486900352,333730.6178,3682742.015,28.41531771
50,1154,8.499820253,333745.6178,3682742.015,28.41677908
51,1155,8.514067551,333760.6178,3682742.015,28.41943485
52,1342,8.392435156,333550.6178,3682757.015,28.41324333
53,1343,8.408082719,333565.6178,3682757.015,28.42508506
54,1344,8.421491814,333580.6178,3682757.015,28.43428406
55,1345,8.432675032,333595.6178,3682757.015,28.44073553
56,1346,8.441817475,333610.6178,3682757.015,28.4444986
57,1347,8.44928001,333625.6178,3682757.015,28.44581176
58,1348,8.455577317,333640.6178,3682757.015,28.44508494
59,1349,8.461331947,333655.6178,3682757.015,28.44286733
60,1350,8.467211127,333670.6178,3682757.015,28.43979533
61,1351,8.473856731,333685.6178,3682757.015,28.4365294
62,1352,8.48181933,333700.6178,3682757.015,28.43369023
63,1353,8.491504899,333715.6178,3682757.015,28.4318031
64,1354,8.503138795,333730.6178,3682757.015,28.4312562
65,1355,8.516747887,333745.6178,3682757.015,28.43227498
66,1356,8.53215932,333760.6178,3682757.015,28.43491187
67,1357,8.549013791,333775.6178,3682757.015,28.43904973
68,1358,8.566791786,333790.6178,3682757.015,28.44441731
69,1359,8.584852348,333805.6178,3682757.015,28.45061588
70,1360,8.602484338,333820.6178,3682757.015,28.45715689
71,1542,8.39787095,333535.6178,3682772.015,28.42551045
72,1543,8.416938027,333550.6178,3682772.015,28.44129313
73,1544,8.433484527,333565.6178,3682772.015,28.45427476
74,1545,8.447282277,333580.6178,3682772.015,28.46410696
75,1546,8.458292759,333595.6178,3682772.015,28.47060426
76,1547,8.466707878,333610.6178,3682772.015,28.47379553
77,1548,8.472961443,333625.6178,3682772.015,28.47395163
78,1549,8.477703625,333640.6178,3682772.015,28.47157918
79,1550,8.481739373,333655.6178,3682772.015,28.46737807
80,1551,8.485941068,333670.6178,3682772.015,28.46216946
81,1552,8.491151696,333685.6178,3682772.015,28.45680804
82,1553,8.498095343,333700.6178,3682772.015,28.45209476
83,1554,8.507307281,333715.6178,3682772.015,28.44870307
84,1555,8.519089094,333730.6178,3682772.015,28.44712621
85,1556,8.533488162,333745.6178,3682772.015,28.44764685
86,1557,8.550297548,333760.6178,3682772.015,28.45032633
87,1558,8.569072079,333775.6178,3682772.015,28.45500981
88,1559,8.589158421,333790.6178,3682772.015,28.46134464
89,1560,8.609739493,333805.6178,3682772.015,28.46881104
90,1561,8.629895197,333820.6178,3682772.015,28.47676654
91,1562,8.648680786,333835.6178,3682772.015,28.48450511
92,1563,8.66522058,333850.6178,3682772.015,28.49133006
93,1600,8.757808641,334405.6178,3682772.015,28.84567138
94,1601,8.747984412,334420.6178,3682772.015,28.79976182
95,1743,8.422580215,333535.6178,3682787.015,28.45362984
96,1744,8.443329463,333550.6178,3682787.015,28.47134622
97,1745,8.461068989,333565.6178,3682787.015,28.4858167
98,1746,8.475434045,333580.6178,3682787.015,28.496535
99,1747,8.486299933,333595.6178,3682787.015,28.50319457
100,1748,8.49384889,333610.6178,3682787.015,28.50576838
101,1749,8.498596263,333625.6178,3682787.015,28.50455648
102,1750,8.501361848,333640.6178,3682787.015,28.50018415
103,1751,8.503186562,333655.6178,3682787.015,28.49354522
104,1752,8.505210342,333670.6178,3682787.015,28.4857012
105,1753,8.508537245,333685.6178,3682787.015,28.47775824
106,1754,8.514113952,333700.6178,3682787.015,28.47074739
107,1755,8.522639339,333715.6178,3682787.015,28.46552776
108,1756,8.534510854,333730.6178,3682787.015,28.46272172
109,1757,8.549803604,333745.6178,3682787.015,28.46268132
110,1758,8.568273598,333760.6178,3682787.015,28.46547925
111,1759,8.589377425,333775.6178,3682787.015,28.47091712
112,1760,8.612305043,333790.6178,3682787.015,28.47854633
113,1761,8.63602756,333805.6178,3682787.015,28.48770149
114,1762,8.659365639,333820.6178,3682787.015,28.49754983
115,1763,8.681084192,333835.6178,3682787.015,28.50716152
116,1764,8.700014026,333850.6178,3682787.015,28.51560244
117,1765,8.715191243,333865.6178,3682787.015,28.52204461
118,1766,8.725993337,333880.6178,3682787.015,28.52587942
119,1773,8.715935581,333985.6178,3682787.015,28.49562217
