"x1","x2"
333598.183603229,3682766.32161839
333360.618294708,3682995.6155339
333610.689059867,3683016.39238355
333860.759825026,3682873.01068893
334110.830590185,3682913.70588224
334360.901355344,3682885.02864581
333365.754517001,3683245.68629906
333615.82528216,3683266.46314871
333865.896047319,3683123.08145409
334115.966812478,3683163.7766474
334366.037577637,3683135.09941097
333596.345852137,3683516.53391387
333846.416617296,3683373.15221925
334096.487382454,3683413.84741256
334346.558147613,3683385.17017613
333798.503177172,3683623.22298441
334048.573942331,3683663.91817772
334298.64470749,3683635.24094129
333832.787522494,3683873.29374957
334082.858287653,3683913.98894287
