WP,Site,x,y,Time,Time1,Secchi Depth1 (cm),DO 2 (mg/L),Temp1 (C),Depth1,%Veg,%Canopy,
Dock,1,-88.778553,33.271622,1,7/14/2020 17:00,38,8.47,30.07,205,0,0,
1,1,-88.777474,33.272608,1,7/14/2020 17:19,58,11.24,31,242,0,0,
2,1,-88.78053,33.272564,1,7/14/2020 17:25,60,11.2,30.8,193,0,0,
3,1,-88.783587,33.272521,1,7/14/2020 17:31,63,10.72,31.2,208,0,0,
4,1,-88.786643,33.272477,1,7/14/2020 17:38,60,6.58,31.5,195,0,0,
5,2,-88.790522,33.275746,1,7/14/2020 17:44,82,8.04,31,172,30,20,
6,2,-88.787517,33.27579,1,7/14/2020 17:59,70,6.1,30.2,150,10,60,
7,1,-88.786695,33.275044,1,7/14/2020 17:53,60,6.78,33.3,169,0,0,
8,1,-88.783639,33.275088,1,7/14/2020 18:05,56,9.18,30.9,181,0,0,
9,1,-88.780583,33.275132,1,7/14/2020 18:10,60,10.84,31.2,188,0,0,
10,1,-88.777526,33.275176,1,7/14/2020 18:15,52,11.65,30.8,225,0,0,
11,1,-88.780635,33.277699,1,7/14/2020 18:22,56,10.62,30.3,176,0,0,
12,1,-88.783691,33.277655,1,7/14/2020 18:28,58,9.84,30.3,166,0,0,
13,2,-88.787569,33.278314,1,7/14/2020 18:33,56,6.98,30.3,127,40,20,
14,2,-88.796637,33.280709,1,7/14/2020 18:57,36,2.63,26.2,229,40,85,
15,2,-88.793631,33.280752,1,7/14/2020 18:51,33,3.06,26.4,208,20,20,
16,2,-88.78762,33.280839,1,7/14/2020 18:44,70,2.7,28.2,221,40,30,
17,1,-88.783743,33.280223,1,7/14/2020 19:09,61,9.93,31.1,156,5,0,
18,1,-88.780687,33.280266,1,7/14/2020 19:16,47,10.06,30.9,167,5,0,
19,2,-88.78166,33.283449,1,7/14/2020 19:24,54,9.18,29.2,142,20,10,
20,2,-88.784666,33.283406,1,7/14/2020 19:29,58,4.85,28.3,153,20,10,
21,2,-88.784717,33.285931,1,7/14/2020 19:33,49,4.8,27.9,119,60,40,
22,2,-88.781712,33.285974,1,7/14/2020 19:59,55,5.73,28.4,220,5,5,
23,2,-88.787774,33.288412,1,7/14/2020 19:48,43,2.21,26.5,340,20,5,
24,2,-88.793838,33.29085,1,7/14/2020 19:42,47,3.09,26.9,224,20,5,
Dock,1,-88.778553,33.271622,2,7/15/2020 5:27,38,8.62,29.6,205,0,0,
1,1,-88.777474,33.272608,2,7/15/2020 5:42,57,2.36,28.2,242,0,0,
2,1,-88.78053,33.272564,2,7/15/2020 5:51,57,8.63,29.6,193,0,0,
3,1,-88.783587,33.272521,2,7/15/2020 5:54,63,4.42,28.8,208,0,0,
4,1,-88.786643,33.272477,2,7/15/2020 6:01,63,6.4,29.9,195,0,0,
5,2,-88.790522,33.275746,2,7/15/2020 6:15,110,6.65,30.1,172,30,20,
6,2,-88.787517,33.27579,2,7/15/2020 6:22,74,7.83,30.5,150,10,60,
7,1,-88.786695,33.275044,2,7/15/2020 6:17,67,7.96,30.2,169,0,0,
8,1,-88.783639,33.275088,2,7/15/2020 6:28,61,8.24,29.9,181,0,0,
9,1,-88.780583,33.275132,2,7/15/2020 6:32,57,8.76,29.9,188,0,0,
10,1,-88.777526,33.275176,2,7/15/2020 6:39,53,8.15,29.9,225,0,0,
11,1,-88.780635,33.277699,2,7/15/2020 6:40,61,8.59,30.1,176,0,0,
12,1,-88.783691,33.277655,2,7/15/2020 6:49,59,8.54,30,166,0,0,
13,2,-88.787569,33.278314,2,7/15/2020 6:55,69,6.7,30.7,127,40,20,
14,2,-88.796637,33.280709,2,7/15/2020 7:11,44,3.04,26.4,229,40,85,
15,2,-88.793631,33.280752,2,7/15/2020 7:35,38,3.59,26.4,208,20,20,
16,2,-88.78762,33.280839,2,7/15/2020 7:00,79,2.42,27.3,221,40,30,
17,1,-88.783743,33.280223,2,7/15/2020 7:15,44,7.19,30.2,156,5,0,
18,1,-88.780687,33.280266,2,7/15/2020 7:26,61,8.47,29.9,167,5,0,
19,2,-88.78166,33.283449,2,7/15/2020 7:35,67,8.8,29.9,142,20,10,
20,2,-88.784666,33.283406,2,7/15/2020 7:41,72,8.13,30.1,153,20,10,
21,2,-88.784717,33.285931,2,7/15/2020 7:55,61,3.47,28.3,119,60,40,
22,2,-88.781712,33.285974,2,7/15/2020 8:13,69,6.92,29.2,220,5,5,
23,2,-88.787774,33.288412,2,7/15/2020 7:59,52,2.46,26.6,340,20,5,
24,2,-88.793838,33.29085,2,7/15/2020 7:56,54,2.69,27,224,20,5,
,,,,,,,,,,,,
,,,,,,,,,,,,
