WP,x,y,AvgDepth
Dock,-88.778553,33.271622,203.5
1,-88.777474,33.272608,232
2,-88.78053,33.272564,195
3,-88.783587,33.272521,202
4,-88.786643,33.272477,190
5,-88.790522,33.275746,161.5
6,-88.787517,33.27579,139.5
7,-88.786695,33.275044,169.5
8,-88.783639,33.275088,159.5
9,-88.780583,33.275132,186
10,-88.777526,33.275176,247.5
11,-88.780635,33.277699,177.5
12,-88.783691,33.277655,168
13,-88.787569,33.278314,142.5
14,-88.796637,33.280709,208.5
15,-88.793631,33.280752,113
16,-88.78762,33.280839,225.5
17,-88.783743,33.280223,82.5
18,-88.780687,33.280266,161.5
19,-88.78166,33.283449,155.5
20,-88.784666,33.283406,145
21,-88.784717,33.285931,114.5
22,-88.781712,33.285974,128
23,-88.787774,33.288412,210.5
24,-88.793838,33.29085,234
