WP,Site,x,y,Time,Time1,Depth measured,Secchi Depth (cm),DO  (mg/L),Temp (C),Depth,%Veg,%Canopy
1,1,-88.777474,33.272608,1,7/14/2020 17:19,0.2,58,11.26,32.8,242,0,0
1,1,-88.777474,33.272608,1,7/14/2020 17:19,0.6,58,11.4,31,242,0,0
1,1,-88.777474,33.272608,1,7/14/2020 17:19,1,58,6.51,29.6,242,0,0
1,1,-88.777474,33.272608,1,7/14/2020 17:19,1.4,58,1.53,28.1,242,0,0
1,1,-88.777474,33.272608,1,7/14/2020 17:19,1.8,58,0.39,27.1,242,0,0
3,1,-88.783587,33.272521,1,7/14/2020 17:31,0.2,63,10.18,35,208,0,0
3,1,-88.783587,33.272521,1,7/14/2020 17:31,0.6,63,10.72,31.2,208,0,0
3,1,-88.783587,33.272521,1,7/14/2020 17:31,1,63,5,28.2,208,0,0
3,1,-88.783587,33.272521,1,7/14/2020 17:31,1.4,63,0.45,27.1,208,0,0
3,1,-88.783587,33.272521,1,7/14/2020 17:31,1.8,63,0.2,26.8,208,0,0
5,2,-88.790522,33.275746,1,7/14/2020 17:44,0.2,82,10.1,32.9,172,30,20
5,2,-88.790522,33.275746,1,7/14/2020 17:44,0.6,82,8.04,31,172,30,20
5,2,-88.790522,33.275746,1,7/14/2020 17:44,1,82,3.08,29.6,172,30,20
5,2,-88.790522,33.275746,1,7/14/2020 17:44,1.4,82,0.26,28,172,30,20
7,1,-88.786695,33.275044,1,7/14/2020 17:53,0.2,60,9.99,34.8,169,0,0
7,1,-88.786695,33.275044,1,7/14/2020 17:53,0.6,60,6.78,33.3,169,0,0
7,1,-88.786695,33.275044,1,7/14/2020 17:53,1,60,0.55,28.5,169,0,0
7,1,-88.786695,33.275044,1,7/14/2020 17:53,1.4,60,0.17,27.4,169,0,0
9,1,-88.780583,33.275132,1,7/14/2020 18:10,0.2,60,11.2,33.6,188,0,0
9,1,-88.780583,33.275132,1,7/14/2020 18:10,0.6,60,10.84,31.2,188,0,0
9,1,-88.780583,33.275132,1,7/14/2020 18:10,1,60,7.76,29.5,188,0,0
9,1,-88.780583,33.275132,1,7/14/2020 18:10,1.4,60,7.38,27.7,188,0,0
11,1,-88.780635,33.277699,1,7/14/2020 18:22,0.2,56,10.65,34.4,176,0,0
11,1,-88.780635,33.277699,1,7/14/2020 18:22,0.6,56,10.62,30.3,176,0,0
11,1,-88.780635,33.277699,1,7/14/2020 18:22,1,56,6.53,29,176,0,0
11,1,-88.780635,33.277699,1,7/14/2020 18:22,1.4,56,0.87,27.3,176,0,0
