SampleType,Samplelocation,DepthofDeployment,DepthofCollection,StartTime,StartTurbidity,InitialDO,StartTemp,EndTime,EndDO,EndTubidity,EndTemp
Dark,6,0.25,0,6/26/2020 19:01,70,8.17,26.6,6/27/2020 19:04,6.26,57,27.8
Dark,6,0.5,0,6/26/2020 19:01,70,8.17,26.6,6/27/2020 19:04,6.33,57,27.3
Dark,6,0.75,0,6/26/2020 19:01,70,8.17,26.6,6/27/2020 19:04,6.28,57,26.7
Dark,6,1,0,6/26/2020 19:01,70,8.17,26.6,6/27/2020 19:04,6.03,57,26.4
Dark,6,0.25,0.5,6/26/2020 19:07,70,8.24,26.4,6/27/2020 18:53,6.25,57,27.8
Dark,6,0.5,0.5,6/26/2020 19:07,70,8.24,26.4,6/27/2020 18:53,6.63,57,26.8
Dark,6,0.75,0.5,6/26/2020 19:07,70,8.24,26.4,6/27/2020 18:53,6.36,57,26.4
Dark,6,1,0.5,6/26/2020 19:07,70,8.24,26.4,6/27/2020 18:53,6.53,57,25.8
Dark,9,0.25,0,6/26/2020 18:38,38,9.34,26.6,6/27/2020 18:15,6.77,45,28.4
Dark,9,0.5,0,6/26/2020 18:38,38,9.34,26.6,6/27/2020 18:15,6.95,45,28.1
Dark,9,0.75,0,6/26/2020 18:38,38,9.34,26.6,6/27/2020 18:15,6.76,45,28
Dark,9,1,0,6/26/2020 18:38,8,9.34,26.6,6/27/2020 18:15,6.64,45,27.8
Dark,9,0.25,0.5,6/26/2020 18:44,38,9.19,26.7,6/27/2020 18:29,6.91,45,28.8
Dark,9,0.5,0.5,6/26/2020 18:44,38,9.19,26.7,6/27/2020 18:29,7.04,45,28.2
Dark,9,0.75,0.5,6/26/2020 18:44,38,9.19,26.7,6/27/2020 18:29,7.01,45,28.1
Dark,9,1,0.5,6/26/2020 18:44,38,9.19,26.7,6/27/2020 18:29,6.98,45,27.6
Dark,16,0.25,0,6/26/2020 19:26,59,4.75,24.4,6/27/2020 19:33,4.32,50,25.4
Dark,16,0.5,0,6/26/2020 19:26,59,4.75,24.4,6/27/2020 19:33,4.16,50,25
Dark,16,0.75,0,6/26/2020 19:26,59,4.75,24.4,6/27/2020 19:33,4.06,50,24.9
Dark,16,1,0,6/26/2020 19:26,59,4.75,24.4,6/27/2020 19:33,3.9,50,24.8
Dark,18,0.25,0,6/26/2020 19:50,55,7.93,26.1,6/27/2020 20:00,6.01,NA,28.1
Dark,18,0.5,0,6/26/2020 19:50,55,7.93,26.1,6/27/2020 20:00,5.87,NA,28
Dark,18,0.75,0,6/26/2020 19:50,55,7.93,26.1,6/27/2020 20:00,5.95,NA,27.9
Dark,18,1,0,6/26/2020 19:50,55,7.93,26.1,6/27/2020 20:00,5.68,NA,27.4
Dark,21,0.25,0,6/26/2020 20:06,81,5.06,25.4,6/27/2020 20:25,4.5,67,25.9
Dark,21,0.5,0,6/26/2020 20:06,81,5.06,25.4,6/27/2020 20:25,4.47,67,25.5
Dark,21,0.75,0,6/26/2020 20:06,81,5.06,25.4,6/27/2020 20:25,4.27,67,25.3
Dark,21,1,0,6/26/2020 20:06,81,5.06,25.4,6/27/2020 20:25,4.15,67,25.2
