Location,Start Date/Time,End Date/Time,Score
WCS_2,1/24/2020 15:57,10/14/2020 11:59,1
Notch_1,1/24/2020 16:13,5/23/2020 7:53,1
Notch_1,5/23/2020 8:23,5/25/2020 2:58,0
Notch_1,5/25/2020 3:48,5/26/2020 7:01,1
Notch_1,5/26/2020 7:32,5/28/2020 5:07,0
Notch_1,5/28/2020 5:37,5/30/2020 11:13,1
Notch_1,5/30/2020 11:43,6/8/2020 23:40,0
Notch_1,6/9/2020 0:10,6/12/2020 14:20,1
Notch_1,6/13/2020 18:23,6/23/2020 7:50,0
Notch_1,6/23/2020 7:50,6/30/2020 16:41,1
Notch_1,6/30/2020 16:41,7/2/2020 9:16,0
Notch_1,7/2/2020 9:16,7/16/2020 6:30,1
Notch_1,7/16/2020 6:30,7/23/2020 1:00,0
Notch_1,7/23/2020 1:00,7/23/2020 20:30,1
Notch_1,7/23/2020 20:30,7/29/2020 8:30,0
Notch_1,7/29/2020 8:30,8/1/2020 8:30,1
Notch_1,8/1/2020 8:30,8/13/2020 14:45,0
Notch_1,8/13/2020 14:45,8/16/2020 9:30,1
Notch_1,8/16/2020 9:30,10/14/2020 11:59,0
Notch_2,1/28/2020 11:53,2/6/2020 12:15,0
Notch_2,2/6/2020 12:25,2/7/2020 22:36,1
Notch_2,2/7/2020 22:46,2/10/2020 17:38,-1
Notch_2,2/10/2020 17:59,2/14/2020 14:49,1
Notch_2,2/14/2020 15:09,2/15/2020 23:50,-1
Notch_2,2/16/2020 0:00,2/19/2020 10:17,0
Notch_2,2/19/2020 10:27,2/21/2020 21:57,1
Notch_2,2/21/2020 22:07,2/23/2020 17:41,-1
Notch_2,2/23/2020 18:01,3/1/2020 14:15,0
Notch_2,5/20/2020 13:03,10/14/2020 11:59,0
Bridge_1,4/2/2020 18:09,10/14/2020 11:59,1
Bridge_2,4/3/2020 9:36,4/11/2020 15:55,-1
Bridge_2,4/13/2020 9:46,4/27/2020 10:04,1
Bridge_2,4/28/2020 12:31,5/22/2020 13:39,-1
Bridge_2,5/22/2020 14:09,5/28/2020 15:09,1
Bridge_2,5/28/2020 15:39,6/4/2020 13:09,-1
Bridge_2,6/4/2020 13:39,6/9/2020 5:09,1
Bridge_2,6/9/2020 5:39,10/14/2020 11:59,-1
