Longitude,Latitude,ElevationBottom,
-88.79097223,33.27518993,66.49712,
-88.79096927,33.27517271,66.49712,
-88.79096877,33.27520696,66.49712,
-88.79096536,33.27522249,66.49712,
-88.79096057,33.27515726,66.39712,
-88.79095842,33.2752369,66.49712,
-88.7909517,33.27525371,66.49712,
-88.79094774,33.27514127,66.39712,
-88.79094618,33.27527142,66.49712,
-88.79094422,33.27529134,66.39712,
-88.79094228,33.27530887,66.39712,
-88.79094031,33.27532828,66.49712,
-88.79093836,33.27534419,66.29712,
-88.79093359,33.27535795,66.29712,
-88.7909317,33.27512583,66.39712,
-88.7909265,33.27537125,66.29712,
-88.79091644,33.27511036,66.39712,
-88.79091482,33.27538117,66.99712,
-88.79090299,33.27509552,66.39712,
-88.79090207,33.27538664,66.29712,
-88.79088773,33.27538447,66.29712,
-88.79088555,33.27508011,66.39712,
-88.79087542,33.27538231,66.29712,
-88.79087067,33.27506702,66.39712,
-88.79086496,33.27538014,66.39712,
-88.79085637,33.27505294,66.39712,
-88.79085397,33.27537063,66.29712,
-88.79084338,33.27504097,66.39712,
-88.79083974,33.27536316,66.29712,
-88.79083507,33.27502521,66.39712,
-88.79082844,33.27501134,66.29712,
-88.79082179,33.27499393,66.29712,
-88.79082001,33.27485864,66.39712,
-88.79081932,33.27535559,66.39712,
-88.7908191,33.27497531,66.29712,
-88.79081769,33.27487637,66.39712,
-88.79081705,33.27495876,66.29712,
-88.79081571,33.27483985,66.39712,
-88.7908154,33.27489317,66.29712,
-88.79081498,33.27494117,66.29712,
-88.7908131,33.27490864,66.39712,
-88.79081293,33.27492355,66.39712,
-88.79080436,33.27482148,66.49712,
-88.79080252,33.2753378,66.39712,
-88.79079243,33.27480469,66.49712,
-88.79078553,33.27531802,66.49712,
-88.79077799,33.27478824,66.29712,
-88.790767,33.27529414,66.99712,
-88.79076448,33.27477174,66.39712,
-88.79075118,33.2747546,66.39712,
-88.79074862,33.27527354,66.39712,
-88.79073752,33.27473893,66.29712,
-88.79073162,33.27525409,66.39712,
-88.79072809,33.27428739,66.39712,
-88.79072747,33.2742701,66.39712,
-88.79072315,33.27472293,66.49712,
-88.79072222,33.27425305,66.39712,
-88.79072141,33.27430571,66.29712,
-88.79071717,33.27432517,66.59712,
-88.79071463,33.2752344,66.39712,
-88.7907138,33.27423456,66.49712,
-88.79071282,33.27434065,66.49712,
-88.79070929,33.27470749,66.59712,
-88.79070549,33.27421516,66.49712,
-88.79070283,33.27406837,66.59712,
-88.79070196,33.27435616,66.39712,
-88.79070075,33.27406262,66.59712,
-88.79070054,33.27407565,66.59712,
-88.79070042,33.27433101,66.49712,
-88.79069957,33.27429537,66.39712,
-88.79069826,33.27408126,66.59712,
-88.79069796,33.27431329,66.39712,
-88.79069751,33.27419576,66.49712,
-88.79069618,33.27435222,66.39712,
-88.79069616,33.27522067,66.69712,
-88.79069599,33.27407639,66.59712,
-88.79069385,33.27469022,66.39712,
-88.79069321,33.27427693,66.39712,
-88.79069235,33.27407245,66.59712,
-88.7906919,33.27405793,66.99712,
-88.79068869,33.27437185,66.39712,
-88.79068867,33.27437003,66.39712,
-88.79068864,33.27417573,66.59712,
-88.79068794,33.27406789,66.59712,
-88.79068615,33.27425929,66.49712,
-88.79068424,33.27406006,66.59712,
-88.79068103,33.27405382,66.59712,
