ID,﻿Location,Date Time,Abs Pres kPa,Temp °C,Abs Pres Barom kPa,Water Level meters,WSElevation
10388,Cypress,6/6/2019,115.393,25.125,99.715,1.268,68.7463
10389,Cypress,6/6/2019,115.409,25.125,99.717,1.27,68.7483
10387,Cypress,6/6/2019,115.44,25.125,99.745,1.27,68.7483
10390,Cypress,6/6/2019,115.455,25.125,99.659,1.28,68.7583
10386,Cypress,6/6/2019,115.47,25.125,99.761,1.272,68.7503
10385,Cypress,6/6/2019,115.501,25.125,99.832,1.268,68.7463
10384,Cypress,6/6/2019,115.517,25.125,99.85,1.267,68.7453
10391,Cypress,6/6/2019,115.532,25.125,99.651,1.289,68.7673
10383,Cypress,6/6/2019,115.574,25.028,99.876,1.27,68.7483
10392,Cypress,6/6/2019,115.594,25.125,99.626,1.298,68.7763
10382,Cypress,6/6/2019,115.621,25.028,99.919,1.271,68.7493
10381,Cypress,6/6/2019,115.683,25.028,99.966,1.272,68.7503
10380,Cypress,6/6/2019,115.729,25.028,100.038,1.27,68.7483
10379,Cypress,6/6/2019,115.744,25.028,100.064,1.269,68.7473
10378,Cypress,6/6/2019,115.791,25.028,100.114,1.268,68.7463
10393,Cypress,6/6/2019,115.795,25.125,99.611,1.32,68.7983
10359,Cypress,6/6/2019,115.818,24.931,100.295,1.253,68.7313
10358,Cypress,6/6/2019,115.818,24.931,100.265,1.256,68.7343
10377,Cypress,6/6/2019,115.822,25.028,100.127,1.27,68.7483
10356,Cypress,6/6/2019,115.833,24.931,100.288,1.255,68.7333
10357,Cypress,6/6/2019,115.833,24.931,100.278,1.256,68.7343
10360,Cypress,6/6/2019,115.833,24.931,100.269,1.257,68.7353
10361,Cypress,6/6/2019,115.833,24.931,100.26,1.258,68.7363
10430,Cypress,6/7/2019,115.837,25.028,99.578,1.328,68.8063
10394,Cypress,6/6/2019,115.857,25.125,99.637,1.324,68.8023
10431,Cypress,6/7/2019,115.868,25.028,99.606,1.328,68.8063
10395,Cypress,6/6/2019,115.872,25.125,99.655,1.323,68.8013
10355,Cypress,6/6/2019,115.879,24.931,100.352,1.253,68.7313
10375,Cypress,6/6/2019,115.883,25.028,100.198,1.269,68.7473
10376,Cypress,6/6/2019,115.899,25.028,100.19,1.272,68.7503
10396,Cypress,6/6/2019,115.903,25.125,99.672,1.325,68.8033
10362,Cypress,6/6/2019,115.91,24.931,100.256,1.266,68.7443
10373,Cypress,6/6/2019,115.91,24.931,100.226,1.269,68.7473
10372,Cypress,6/6/2019,115.91,24.931,100.206,1.271,68.7493
10374,Cypress,6/6/2019,115.91,24.931,100.179,1.274,68.7523
11014,Cypress,6/19/2019,115.914,25.028,99.863,1.306,68.7843
10354,Cypress,6/6/2019,115.926,24.931,100.395,1.253,68.7313
10353,Cypress,6/6/2019,115.93,25.028,100.412,1.252,68.7303
11015,Cypress,6/19/2019,115.93,25.028,99.921,1.302,68.7803
10429,Cypress,6/7/2019,115.93,25.028,99.638,1.331,68.8093
10432,Cypress,6/7/2019,115.93,25.028,99.596,1.335,68.8133
10397,Cypress,6/6/2019,115.934,25.125,99.68,1.327,68.8053
10363,Cypress,6/6/2019,115.941,24.931,100.244,1.27,68.7483
10436,Cypress,6/7/2019,115.945,25.028,99.641,1.332,68.8103
10435,Cypress,6/7/2019,115.945,25.028,99.618,1.335,68.8133
10402,Cypress,6/7/2019,115.949,25.125,99.687,1.328,68.8063
10403,Cypress,6/7/2019,115.949,25.125,99.691,1.328,68.8063
10407,Cypress,6/7/2019,115.949,25.125,99.68,1.329,68.8073
10401,Cypress,6/7/2019,115.949,25.125,99.669,1.33,68.8083
10406,Cypress,6/7/2019,115.949,25.125,99.671,1.33,68.8083
10408,Cypress,6/7/2019,115.949,25.125,99.659,1.331,68.8093
10369,Cypress,6/6/2019,115.957,24.931,100.267,1.27,68.7483
10371,Cypress,6/6/2019,115.957,24.931,100.261,1.27,68.7483
10352,Cypress,6/6/2019,115.961,25.028,100.404,1.256,68.7343
11016,Cypress,6/19/2019,115.961,25.028,99.941,1.303,68.7813
11013,Cypress,6/19/2019,115.961,25.028,99.939,1.304,68.7823
10428,Cypress,6/7/2019,115.961,25.028,99.675,1.33,68.8083
10434,Cypress,6/7/2019,115.961,25.028,99.66,1.332,68.8103
10364,Cypress,6/6/2019,115.972,24.931,100.288,1.269,68.7473
10370,Cypress,6/6/2019,115.972,24.931,100.25,1.273,68.7513
11018,Cypress,6/19/2019,115.972,24.931,99.952,1.303,68.7813
10341,Cypress,6/5/2019,115.976,25.028,100.472,1.251,68.7293
10344,Cypress,6/5/2019,115.976,25.028,100.46,1.252,68.7303
10340,Cypress,6/5/2019,115.976,25.028,100.442,1.254,68.7323
11017,Cypress,6/19/2019,115.976,25.028,99.957,1.303,68.7813
10426,Cypress,6/7/2019,115.976,25.028,99.712,1.328,68.8063
10427,Cypress,6/7/2019,115.976,25.028,99.706,1.329,68.8073
10438,Cypress,6/7/2019,115.976,25.028,99.658,1.334,68.8123
10400,Cypress,6/7/2019,115.98,25.125,99.725,1.327,68.8053
10404,Cypress,6/7/2019,115.98,25.125,99.704,1.329,68.8073
10405,Cypress,6/7/2019,115.98,25.125,99.704,1.329,68.8073
11012,Cypress,6/19/2019,115.987,24.931,99.968,1.303,68.7813
10451,Cypress,6/8/2019,115.987,24.931,99.609,1.34,68.8183
10342,Cypress,6/5/2019,115.992,25.028,100.471,1.252,68.7303
10343,Cypress,6/5/2019,115.992,25.028,100.477,1.252,68.7303
10349,Cypress,6/5/2019,115.992,25.028,100.448,1.255,68.7333
