"Date","Discharge_cfs","Discharge_cms","month","year","day","DeltaCMS","meanCMS","DeltaVol"
1945-01-07,2500,70.7921175,"Jan",1945,7,50.9703246,70.7921175,1386.13938278733
1945-01-14,640,18.12278208,"Jan",1945,14,2.26534776,18.12278208,1610.43935096735
1945-01-15,750,21.23763525,"Jan",1945,15,3.11485317,21.23763525,1625.00837588
1945-01-19,540,15.29109738,"Jan",1945,19,5.09703246,15.29109738,1584.48911667134
1945-01-20,650,18.40595055,"Jan",1945,20,3.11485317,18.40595055,1612.32486673613
1945-01-21,900,25.4851623,"Jan",1945,21,7.07921175,25.4851623,1627.8013120326
1945-01-22,1100,31.1485317,"Jan",1945,22,5.6633694,31.1485317,1615.46751384475
1945-02-05,500,14.1584235,"Feb",1945,5,9.486143745,14.1584235,1570.2658326869
1945-02-06,2700,76.4554869,"Feb",1945,6,62.2970634,76.4554869,1345.37940835285
1945-02-12,1200,33.9802164,"Feb",1945,12,10.61881762,33.9802164,1607.00383018357
1945-02-13,4550,128.8416539,"Feb",1945,13,94.8614375,128.8416539,1890.34067950178
1945-02-14,4990,141.3010665,"Feb",1945,14,12.4594126,141.3010665,1766.45429556133
1945-02-15,5300,150.0792891,"Feb",1945,15,8.77822260000002,150.0792891,1930.29532382254
1945-02-18,5370,152.0614684,"Feb",1945,18,28.316847,152.0614684,2013.31547957912
1945-02-19,6910,195.6694128,"Feb",1945,19,43.6079444,195.6694128,4105.95564412874
1945-02-20,8350,236.4456725,"Feb",1945,20,40.7762597,236.4456725,943.133481215831
1945-02-21,15400,436.0794438,"Feb",1945,21,199.6337713,436.0794438,-15206.477414533
1945-02-22,15500,438.9111285,"Feb",1945,22,2.83168470000004,438.9111285,-15435.5499095555
1945-03-04,3400,96.2772798,"Mar",1945,4,45.87329214,96.2772798,1520.76007893601
1945-03-05,3820,108.1703555,"Mar",1945,5,11.8930757,108.1703555,1815.36370823936
1945-03-06,3880,109.8693664,"Mar",1945,6,1.6990109,109.8693664,1851.60319905573
1945-03-09,3340,94.57826898,"Mar",1945,9,0.849505410000006,94.57826898,1483.08380995034
1945-03-18,1920,54.36834624,"Mar",1945,18,38.65249615,54.36834624,1532.62666628638
1945-03-19,2790,79.00400313,"Mar",1945,19,24.63565689,79.00400313,1336.45727098065
1945-03-20,3120,88.34856264,"Mar",1945,20,9.34455951,88.34856264,1378.61105536729
1945-03-21,3230,91.46341581,"Mar",1945,21,3.11485317,91.46341581,1423.46304878579
1945-03-22,3260,92.31292122,"Mar",1945,22,0.849505410000006,92.31292122,1438.35609390359
1945-03-23,3290,93.16242663,"Mar",1945,23,0.849505409999992,93.16242663,1454.30963187623
1945-03-26,3400,96.2772798,"Mar",1945,26,8.4950541,96.2772798,1520.76007893601
1945-03-30,2460,69.65944362,"Mar",1945,30,3.68119011,69.65944362,1396.63819783485
1945-03-31,2730,77.30499231,"Mar",1945,31,7.64554869,77.30499231,1341.61900522402
1945-04-01,2760,78.15449772,"Apr",1945,1,0.849505409999992,78.15449772,1338.62772978437
1945-04-02,3430,97.12678521,"Apr",1945,2,18.97228749,97.12678521,1540.67409466749
1945-04-06,2250,63.71290575,"Apr",1945,6,1.41584235,63.71290575,1455.63014577328
1945-04-07,2350,66.54459045,"Apr",1945,7,2.8316847,66.54459045,1427.32671966248
1945-04-16,265,7.503964455,"Apr",1945,16,0.311485317,7.503964455,1441.99562519078
1945-04-17,815,23.07823031,"Apr",1945,17,15.574265855,23.07823031,1628.15461587017
1945-04-21,238,6.739409586,"Apr",1945,21,0.226534776,6.739409586,1423.09765895743
1945-04-28,407,11.52495673,"Apr",1945,28,6.484557964,11.52495673,1528.32033267988
1945-04-29,480,13.59208656,"Apr",1945,29,2.06712983,13.59208656,1562.29448069107
1945-04-30,919,26.02318239,"Apr",1945,30,12.43109583,26.02318239,1627.18578289976
1945-05-02,789,22.34199228,"May",1945,2,1.47247604,22.34199228,1627.30681819178
1945-05-08,200,5.6633694,"May",1945,8,0.198217928999999,5.6633694,1395.51725238345
1945-05-09,288,8.155251936,"May",1945,9,2.491882536,8.155251936,1457.55708557428
1945-05-12,288,8.155251936,"May",1945,12,1.189307574,8.155251936,1457.55708557428
1945-05-13,347,9.825945909,"May",1945,13,1.670693973,9.825945909,1494.8519060614
1945-05-15,288,8.155251936,"May",1945,15,0.509703246000001,8.155251936,1457.55708557428
1945-05-16,358,10.13743123,"May",1945,16,1.982179294,10.13743123,1501.34299019391
1945-05-17,369,10.44891654,"May",1945,17,0.31148531,10.44891654,1507.67840125654
1945-05-18,480,13.59208656,"May",1945,18,3.14317002,13.59208656,1562.29448069107
1945-05-19,542,15.34773107,"May",1945,19,1.75564451,15.34773107,1585.14082893762
1945-06-04,86,2.435248842,"Jun",1945,4,0.084950541,2.435248842,1308.6135028447
1945-06-11,70,1.98217929,"Jun",1945,11,0.0283168469999999,1.98217929,1296.22385137751
