"","Date","Discharge_cfs","Discharge_cms","month","year","day","DeltaCMS","meanCMS","DeltaVol"
"1",1945-01-02,1900,53.8020093,"Jan",1945,2,-3.96435858,53.8020093,-59107.5834987156
"2",1945-01-03,1500,42.4752705,"Jan",1945,3,-11.3267388,42.4752705,-50418.6917994863
"3",1945-01-04,1200,33.9802164,"Jan",1945,4,-8.4950541,33.9802164,-44052.0821236715
"4",1945-01-05,900,25.4851623,"Jan",1945,5,-8.4950541,25.4851623,-39059.5516923735
"5",1945-01-06,700,19.8217929,"Jan",1945,6,-5.6633694,19.8217929,-35023.273323158
"6",1945-01-08,2400,67.9604328,"Jan",1945,8,-2.83168470000001,67.9604328,-63081.2055763791
"7",1945-01-09,2300,65.1287481,"Jan",1945,9,-2.8316847,65.1287481,-63449.8721529622
"8",1945-01-10,2000,56.633694,"Jan",1945,10,-8.4950541,56.633694,-60829.4820240002
"9",1945-01-11,1500,42.4752705,"Jan",1945,11,-14.1584235,42.4752705,-50418.6917994863
"10",1945-01-12,1000,28.316847,"Jan",1945,12,-14.1584235,28.316847,-40661.172763427
"11",1945-01-13,560,15.85743432,"Jan",1945,13,-12.45941268,15.85743432,-30649.3555022496
"12",1945-01-16,640,18.12278208,"Jan",1945,16,-3.11485317,18.12278208,-33349.3319685343
"13",1945-01-17,500,14.1584235,"Jan",1945,17,-3.96435858,14.1584235,-28230.5739776082
"14",1945-01-18,360,10.19406492,"Jan",1945,18,-3.96435858,10.19406492,-21189.6431327375
"15",1945-01-23,900,25.4851623,"Jan",1945,23,-5.6633694,25.4851623,-39059.5516923735
"16",1945-01-24,700,19.8217929,"Jan",1945,24,-5.6633694,19.8217929,-35023.273323158
"17",1945-01-25,600,16.9901082,"Jan",1945,25,-2.8316847,16.9901082,-32070.8072189566
"18",1945-01-26,500,14.1584235,"Jan",1945,26,-2.8316847,14.1584235,-28230.5739776082
"19",1945-01-27,450,12.74258115,"Jan",1945,27,-1.41584235,12.74258115,-25942.0914227811
"20",1945-01-28,360,10.19406492,"Jan",1945,28,-2.54851623,10.19406492,-21189.6431327375
"21",1945-01-29,310,8.77822257,"Jan",1945,29,-1.41584235,8.77822257,-18221.2729522324
"22",1945-01-30,260,7.36238022,"Jan",1945,30,-1.41584235,7.36238022,-15058.3889467654
"23",1945-01-31,220,6.22970634,"Jan",1945,31,-1.13267388,6.22970634,-12417.5757649135
"24",1945-02-01,200,5.6633694,"Feb",1945,1,-0.56633694,5.6633694,-11068.9731146651
"25",1945-02-02,180,5.09703246,"Feb",1945,2,-0.56633694,5.09703246,-9705.86944998051
"26",1945-02-03,170,4.81386399,"Feb",1945,3,-0.28316847,4.81386399,-9019.8760564705
"27",1945-02-04,165,4.672279755,"Feb",1945,4,-0.141584235,4.672279755,-8675.94008605577
