Elevation,Volume ,1_CMS_DE,1_CMS_DV,2_CMS_DE,2_CMS_DV,3_CMS_DE,3_CMS_DV,4_CMS_DE,4_CMS_DV,5_CMS_DE,5_CMS_DV,6_CMS_DE,6_CMS_DV,7_CMS_DE,7_CMS_DV,8_CMS_DE,8_CMS_DV,9_CMS_DE,9_CMS_DV,10_CMS_DE,10_CMS_DV,11_CMS_DE,11_CMS_DV,12_CMS_DE,12_CMS_DV,13_CMS_DE,13_CMS_DV,14_CMS_DE,14_CMS_DV,15_CMS_DE,15_CMS_DV
66.45402,94620866,94592066,66.4083,94563266,66.3625,94534466,94592065.86,94505666,94592065.82,94476866,94592065.77,94448066,66.1794,94419266,66.1337,94390466,66.0879,94361666,66.0422,94332866,65.9964,94304066,65.9506,94275266,65.9049,94246466,65.8591,94217666,65.8133,94188866,65.7676
66.67402,94917089,94888289,66.6283,94859489,66.5825,94830689,,94801889,,94773089,,94744289,66.3994,94715489,66.3537,94686689,66.3079,94657889,66.2622,94629089,66.2164,94600289,66.1706,94571489,66.1249,94542689,66.0791,94513889,66.0333,94485089,65.9876
66.89402,95187732,95158932,66.8483,95130132,66.8025,95101332,,95072532,,95043732,,95014932,66.6194,94986132,66.5737,94957332,66.5279,94928532,66.4822,94899732,66.4364,94870932,66.3906,94842132,66.3449,94813332,66.2991,94784532,66.2533,94755732,66.2076
67.11402,95354223,95325423,67.0683,95296623,67.0225,95267823,,95239023,,95210223,,95181423,66.8394,95152623,66.7937,95123823,66.7479,95095023,66.7022,95066223,66.6564,95037423,66.6106,95008623,66.5649,94979823,66.5191,94951023,66.4733,94922223,66.4276
67.33402,95370440,95341640,67.2883,95312840,67.2425,95284040,,95255240,,95226440,,95197640,67.0594,95168840,67.0137,95140040,66.9679,95111240,66.9222,95082440,66.8764,95053640,66.8306,95024840,66.7849,94996040,66.7391,94967240,66.6933,94938440,66.6476
67.55402,95390603,95361803,67.5083,95333003,67.4625,95304203,,95275403,,95246603,,95217803,67.2794,95189003,67.2337,95160203,67.1879,95131403,67.1422,95102603,67.0964,95073803,67.0506,95045003,67.0049,95016203,66.9591,94987403,66.9133,94958603,66.8676
67.77402,95458173,95429373,67.7283,95400573,67.6825,95371773,,95342973,,95314173,,95285373,67.4994,95256573,67.4537,95227773,67.4079,95198973,67.3622,95170173,67.3164,95141373,67.2706,95112573,67.2249,95083773,67.1791,95054973,67.1333,95026173,67.0876
67.99402,95581226,95552426,67.9483,95523626,67.9025,95494826,,95466026,,95437226,,95408426,67.7194,95379626,67.6737,95350826,67.6279,95322026,67.5822,95293226,67.5364,95264426,67.4906,95235626,67.4449,95206826,67.3991,95178026,67.3533,95149226,67.3076
68.21402,95761001,95732201,68.1683,95703401,68.1225,95674601,,95645801,,95617001,,95588201,67.9394,95559401,67.8937,95530601,67.8479,95501801,67.8022,95473001,67.7564,95444201,67.7106,95415401,67.6649,95386601,67.6191,95357801,67.5733,95329001,67.5276
68.43402,96036563,96007763,68.3883,95978963,68.3425,95950163,,95921363,,95892563,,95863763,68.1594,95834963,68.1137,95806163,68.0679,95777363,68.0222,95748563,67.9764,95719763,67.9306,95690963,67.8849,95662163,67.8391,95633363,67.7933,95604563,67.7476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
