"","ElevationBottom","Longitude","Latitude","optional"
"1",-1.9,333205.247685838,3683225.76720501,TRUE
"2",-1.9,333205.490630568,3683223.85300566,TRUE
"3",-1.9,333205.602357774,3683227.65007706,TRUE
"4",-1.9,333205.949518923,3683229.36669892,TRUE
"5",-2,333206.271583652,3683222.12590364,TRUE
"6",-1.9,333206.623343977,3683230.95348693,TRUE
"7",-1.9,333207.281243001,3683232.80675468,TRUE
"8",-2,333207.436190605,3683220.33232342,TRUE
"9",-1.9,333207.829082392,3683234.76173803,TRUE
"10",-2,333208.049537022,3683236.96746969,TRUE
"11",-2,333208.263582152,3683238.90821404,TRUE
"12",-1.9,333208.483997897,3683241.05737751,TRUE
"13",-2.1,333208.695892563,3683242.81846939,TRUE
"14",-2.1,333209.166359943,3683244.33664868,TRUE
"15",-2,333208.900833549,3683218.59460176,TRUE
"16",-2.1,333209.852043452,3683245.80011293,TRUE
"17",-2,333210.292768347,3683216.8548001,TRUE
"18",-1.4,333210.958822419,3683246.8814457,TRUE
"19",-2,333211.517313066,3683215.18774947,TRUE
"20",-2.1,333212.156798715,3683247.46762289,TRUE
"21",-2.1,333213.488338482,3683247.20408501,TRUE
"22",-2,333213.112414989,3683213.45111807,TRUE
"23",-2.1,333214.630817447,3683246.94489984,TRUE
"24",-2,333214.473484261,3683211.97583467,TRUE
"25",-2,333215.600963257,3683246.68756199,TRUE
"26",-2,333215.778647716,3683210.39170037,TRUE
"27",-2.1,333216.606512332,3683245.6154688,TRUE
"28",-2,333216.965807733,3683209.04363041,TRUE
"29",-2.1,333217.917724925,3683244.76440765,TRUE
"30",-2,333217.709848659,3683207.28277774,TRUE
"31",-2.1,333218.301004459,3683205.73418538,TRUE
"32",-2.1,333218.887289574,3683203.79302213,TRUE
"33",-2,333218.795737964,3683188.78831391,TRUE
"34",-2,333219.805301632,3683243.89236751,TRUE
"35",-2.1,333219.102426108,3683201.72401331,TRUE
"36",-2,333219.045556186,3683190.7506285,TRUE
"37",-2.1,333219.261888601,3683199.8855626,TRUE
"38",-2,333219.160512514,3683186.69788194,TRUE
"39",-2.1,333219.290811011,3683192.60986638,TRUE
"40",-2.1,333219.421235779,3683197.93175777,TRUE
"41",-2,333219.534467308,3683194.32160896,TRUE
"42",-2,333219.578663118,3683195.9746583,TRUE
"43",-1.9,333220.182747111,3683184.64275796,TRUE
"44",-2,333221.336261242,3683241.89284946,TRUE
"45",-1.9,333221.262010742,3683182.76190841,TRUE
"46",-1.9,333222.881133331,3683239.67236353,TRUE
"47",-2.1,333222.575711548,3683180.91475009,TRUE
"48",-1.4,333224.561647393,3683236.99478174,TRUE
"49",-2,333223.802694356,3683179.06353354,TRUE
"50",-2,333225.008900176,3683177.14168521,TRUE
"51",-2,333226.234429954,3683234.68114841,TRUE
"52",-2.1,333226.251434215,3683175.38226533,TRUE
"53",-2,333227.780863508,3683232.49724,TRUE
"54",-2,333226.270918526,3683125.29741402,TRUE
"55",-2,333226.295781286,3683123.3791923,TRUE
"56",-1.9,333227.559472916,3683173.58511864,TRUE
"57",-2,333226.75235729,3683121.48018601,TRUE
"58",-2.1,333226.927965707,3683127.31818578,TRUE
"59",-1.8,333227.359909804,3683129.46926681,TRUE
"60",-2,333229.325909847,3683230.28673504,TRUE
"61",-1.9,333227.501461104,3683119.4164382,TRUE
"62",-1.9,333227.794529449,3683131.17884303,TRUE
"63",-1.8,333228.821074074,3683171.85088353,TRUE
"64",-1.9,333228.238588575,3683117.25195931,TRUE
"65",-1.8,333228.207154215,3683100.97065036,TRUE
"66",-2,333228.835572741,3683132.88134489,TRUE
"67",-1.8,333228.389957562,3683100.32972865,TRUE
"68",-1.8,333228.434301084,3683101.77424686,TRUE
"69",-1.9,333228.931178337,3683130.0900838,TRUE
"70",-2,333228.942562488,3683126.13672358,TRUE
"71",-1.8,333228.657340117,3683102.39267854,TRUE
"72",-2,333229.126608505,3683128.12124107,TRUE
"73",-1.9,333228.944978867,3683115.08800773,TRUE
"74",-2,333229.366450448,3683132.43521664,TRUE
"75",-1.7,333231.020144838,3683228.73475061,TRUE
"76",-1.8,333228.859514622,3683101.84903358,TRUE
"77",-2,333230.226361746,3683169.91120158,TRUE
"78",-2,333229.499884839,3683124.08181148,TRUE
"79",-1.8,333229.19106556,3683101.40632444,TRUE
"80",-1.4,333229.205363342,3683099.79553058,TRUE
"81",-2,333230.101434783,3683134.59995606,TRUE
"82",-2,333230.099835991,3683134.3981103,TRUE
"83",-1.8,333229.733069473,3683112.85277567,TRUE
"84",-1.8,333229.593158319,3683100.89363535,TRUE
"85",-1.9,333230.123929858,3683122.11449042,TRUE
"86",-1.8,333229.922899211,3683100.01948111,TRUE
"87",-1.8,333230.210023672,3683099.32241959,TRUE
"88",-1.8,333230.234868824,3683099.35859681,TRUE
"89",-1.8,333230.464953363,3683110.87140386,TRUE
"90",-2,333230.971624661,3683136.28209567,TRUE
"91",-2,333231.549857628,3683168.25465794,TRUE
"92",-1.8,333230.511715813,3683099.31169883,TRUE
"93",-1.9,333230.983707736,3683120.36496464,TRUE
"94",-2,333231.273049373,3683136.25585075,TRUE
"95",-1.9,333232.951896695,3683227.34174381,TRUE
"96",-2,333231.631880863,3683138.10981301,TRUE
"97",-1.8,333231.197598371,3683108.93438681,TRUE
"98",-1.8,333231.158957128,3683099.62004468,TRUE
"99",-1.8,333231.28355745,3683099.22525306,TRUE
"100",-1.9,333232.243285233,3683140.07701748,TRUE
"101",-1.9,333231.921613336,3683118.66179419,TRUE
"102",-2,333232.757055464,3683166.3904718,TRUE
"103",-1.8,333231.905054103,3683106.72383115,TRUE
"104",-1.9,333231.816805636,3683099.94928329,TRUE
"105",-1.9,333232.510604965,3683137.8451721,TRUE
"106",-1.9,333233.010181935,3683141.98387684,TRUE
"107",-1.9,333232.401359133,3683100.67687031,TRUE
"108",-1.8,333232.501939104,3683104.96550458,TRUE
"109",-1.9,333234.720937533,3683226.29426915,TRUE
"110",-1.8,333232.567050279,3683099.58147298,TRUE
"111",-1.9,333232.939871465,3683117.08036605,TRUE
"112",-1.9,333232.880361538,3683102.04072633,TRUE
"113",-2.1,333233.966612791,3683164.71813581,TRUE
"114",-1.8,333232.940121002,3683103.51492832,TRUE
"115",-1.9,333233.807640665,3683139.58876043,TRUE
"116",-2,333234.177121126,3683143.85614471,TRUE
"117",-1.8,333234.158939147,3683115.31025844,TRUE
"118",-2.1,333234.985740775,3683163.1877155,TRUE
"119",-1.7,333234.187460283,3683100.07943689,TRUE
"120",-1.9,333235.069775255,3683141.30743609,TRUE
"121",-2,333236.550428797,3683225.45761389,TRUE
"122",-2.1,333235.421007314,3683145.65166774,TRUE
"123",-2.1,333235.750412152,3683161.2712238,TRUE
"124",-1.8,333235.323088789,3683113.38025995,TRUE
"125",-1.9,333236.343965324,3683159.31884548,TRUE
"126",-1.9,333235.372211124,3683101.52325096,TRUE
"127",-2,333236.337496484,3683142.86296466,TRUE
"128",-2,333236.454864719,3683147.58722413,TRUE
"129",-2.1,333236.848727976,3683157.35024308,TRUE
"130",-1.9,333236.37234684,3683111.27032456,TRUE
"131",-2,333238.4046929,3683225.03315404,TRUE
"132",-1.8,333236.324306389,3683102.54845305,TRUE
"133",-2,333237.291062476,3683155.05549948,TRUE
"134",-2,333237.171249575,3683145.08257926,TRUE
"135",-2,333237.573319599,3683152.39081264,TRUE
"136",-2.1,333237.622580374,3683149.28755408,TRUE
"137",-2,333237.817654787,3683149.79665545,TRUE
"138",-1.3,333237.062018716,3683103.67715968,TRUE
"139",-2,333237.351919456,3683109.28026823,TRUE
"140",-2,333238.068132383,3683147.45196141,TRUE
"141",-2,333238.561998446,3683150.98625394,TRUE
"142",-2,333237.79838744,3683105.48804322,TRUE
"143",-1.9,333237.972413599,3683107.43169244,TRUE
"144",-2,333240.328719833,3683224.65630246,TRUE
"145",-2,333239.512059903,3683152.54501297,TRUE
"146",-2.1,333240.677774477,3683153.80280944,TRUE
"147",-2,333242.339029616,3683224.47540776,TRUE
"148",-2,333241.913782962,3683154.97621088,TRUE
"149",-2,333244.434310825,3683224.5226591,TRUE
"150",-1.9,333243.498639545,3683155.7920149,TRUE
"151",-2,333246.617165431,3683224.56951805,TRUE
"152",-1.8,333245.65322554,3683155.98244529,TRUE
"153",-2,333248.801882848,3683224.61634554,TRUE
"154",-1.8,333247.801253329,3683156.17077025,TRUE
"155",-2.1,333250.804020915,3683224.66519578,TRUE
"156",-1.9,333250.021077697,3683156.36230107,TRUE
"157",-2,333252.930058146,3683224.71303063,TRUE
"158",-2.1,333251.97105204,3683156.62833967,TRUE
"159",-1.8,333251.781546422,3683056.70105391,TRUE
"160",-1.8,333251.871851911,3683058.38104181,TRUE
"161",-1.8,333252.235926381,3683060.05189777,TRUE
"162",-2,333255.085920107,3683224.76146362,TRUE
"163",-2.1,333254.156110434,3683157.02012246,TRUE
"164",-1.8,333252.421871612,3683054.54156539,TRUE
"165",-1.7,333252.699476828,3683061.92735763,TRUE
"166",-1.9,333253.265654518,3683052.7823339,TRUE
"167",-1.8,333253.489013222,3683063.68741674,TRUE
"168",-2,333257.239881125,3683224.80771131,TRUE
"169",-1.8,333254.500607303,3683051.01417564,TRUE
"170",-2.1,333256.328356309,3683157.37108532,TRUE
"171",-1.8,333254.93953165,3683065.19877285,TRUE
"172",-1.8,333255.924206499,3683049.16292045,TRUE
"173",-2,333259.275569506,3683224.85709707,TRUE
"174",-2,333258.503129672,3683157.65212614,TRUE
"175",-1.9,333256.99111736,3683066.7708094,TRUE
"176",-1.8,333257.141789304,3683047.90307086,TRUE
"177",-1.8,333258.450509681,3683067.93039961,TRUE
"178",-2,333261.36434935,3683224.90557273,TRUE
"179",-2,333260.499979519,3683157.9351096,TRUE
"180",-1.8,333258.832678876,3683046.37111661,TRUE
"181",-1.8,333259.909670966,3683068.69623046,TRUE
"182",-1.9,333263.253881622,3683225.28800551,TRUE
"183",-2.1,333262.192569028,3683157.69866305,TRUE
"184",-1.8,333260.840905879,3683044.59968092,TRUE
"185",-1.7,333261.520600128,3683069.40178079,TRUE
"186",-2,333265.013852637,3683226.0475679,TRUE
"187",-2,333263.924391921,3683157.30514774,TRUE
"188",-1.7,333262.939155989,3683069.91874001,TRUE
"189",-1.8,333262.596939558,3683042.84588084,TRUE
"190",-1.7,333265.372638452,3683156.67469177,TRUE
"191",-1,333263.898300926,3683070.54007761,TRUE
"192",-2.1,333266.779868724,3683226.88799803,TRUE
"193",-1.8,333264.614319993,3683071.21882589,TRUE
"194",-2,333266.722644127,3683155.58560564,TRUE
"195",-1.8,333265.361553985,3683072.25087148,TRUE
"196",-1.8,333264.900186487,3683040.51146278,TRUE
"197",-2.1,333268.383702008,3683227.77890511,TRUE
"198",-1.8,333265.865247026,3683073.85943711,TRUE
"199",-1.8,333266.498847065,3683075.32823511,TRUE
"200",-1.9,333267.952415937,3683154.05934114,TRUE
"201",-1.8,333266.281606356,3683038.37365168,TRUE
"202",-2,333269.940659618,3683228.7072197,TRUE
"203",-1.6,333267.376788899,3683076.70188918,TRUE
"204",-2,333268.981394737,3683152.17936003,TRUE
"205",-2,333269.207986269,3683149.96263403,TRUE
"206",-1.9,333269.298740556,3683147.81146151,TRUE
"207",-1.9,333269.388505766,3683145.54827746,TRUE
"208",-1.9,333269.480990305,3683143.44366139,TRUE
"209",-1.9,333268.38654042,3683078.26406417,TRUE
"210",-2,333269.575643373,3683141.57415708,TRUE
"211",-1.8,333267.828806181,3683036.34058969,TRUE
"212",-1.8,333269.671493832,3683139.66581048,TRUE
"213",-2,333269.96391586,3683137.75631133,TRUE
"214",-2.1,333271.70070658,3683229.63427011,TRUE
"215",-1.8,333268.526886923,3683034.28881306,TRUE
"216",-1.9,333269.571897466,3683079.8520669,TRUE
"217",-2,333270.740247698,3683135.64995099,TRUE
"218",-1.8,333269.633171416,3683032.40639824,TRUE
"219",-1.9,333270.573361019,3683081.52863109,TRUE
"220",-2,333271.539674763,3683133.36905137,TRUE
"221",-2.1,333273.229301633,3683230.4299684,TRUE
"222",-2,333272.207388421,3683130.95952575,TRUE
"223",-2,333272.573585484,3683129.11420401,TRUE
"224",-1.9,333270.972833004,3683030.76733164,TRUE
"225",-2,333271.950557548,3683083.27417733,TRUE
"226",-1.9,333272.912427775,3683127.08633454,TRUE
"227",-2.1,333274.694382308,3683230.29281544,TRUE
"228",-2,333272.685285111,3683109.33094045,TRUE
"229",-1.4,333272.779444833,3683110.80122487,TRUE
"230",-2,333273.050742401,3683124.6659219,TRUE
"231",-1.9,333273.006213501,3683112.66965396,TRUE
"232",-2,333273.190578053,3683122.27986817,TRUE
"233",-1.9,333273.226555297,3683114.21763648,TRUE
"234",-2,333273.332468054,3683120.12227299,TRUE
"235",-1.9,333273.47930148,3683118.14428231,TRUE
"236",-1.8,333273.452981874,3683116.12045643,TRUE
"237",-1.8,333271.965196446,3683028.87023277,TRUE
"238",-2,333273.380207829,3683107.80164775,TRUE
"239",-1.9,333273.220713386,3683084.97164561,TRUE
"240",-2,333275.97359381,3683229.91150003,TRUE
"241",-1.7,333272.634024823,3683027.06852655,TRUE
"242",-1.9,333274.050565805,3683087.34439849,TRUE
"243",-2,333274.651407412,3683106.19148473,TRUE
"244",-1.8,333273.651270628,3683024.88372028,TRUE
"245",-2,333277.26052208,3683229.38252977,TRUE
"246",-1.9,333275.591391483,3683089.23244355,TRUE
"247",-2,333275.91711301,3683104.42391071,TRUE
"248",-1.7,333274.701250745,3683022.70611718,TRUE
"249",-2,333278.48270519,3683228.60953828,TRUE
"250",-1.8,333275.665690123,3683020.53885458,TRUE
"251",-1.9,333277.121174992,3683103.08221484,TRUE
"252",-2.1,333279.505332189,3683227.44620543,TRUE
"253",-1.7,333277.327208942,3683090.64684736,TRUE
"254",-1.7,333276.428458086,3683017.58641414,TRUE
"255",-2.1,333280.289531823,3683226.17936955,TRUE
"256",-1.7,333276.636186763,3683003.72792495,TRUE
"257",-1.9,333278.345710013,3683101.73905888,TRUE
"258",-1.8,333277.050538078,3683005.50551116,TRUE
"259",-1.8,333277.269695839,3683014.48288724,TRUE
"260",-2,333281.045235828,3683224.60910347,TRUE
"261",-1.8,333278.785969902,3683092.2046514,TRUE
"262",-1.7,333277.262018963,3683001.86373254,TRUE
"263",-1.9,333277.754288897,3683012.58673169,TRUE
"264",-1.7,333277.665930741,3683007.32512701,TRUE
