Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L) morning,DO (mg/L) evening,Temp morning,Temp evening,Turbidity (cm) morning,Turbidity (cm) evening,Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,710,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,715,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,410,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,220,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,242,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,228,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,235,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,230,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,236,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,235,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,219,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,221,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,462,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,480,,,,3,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,490,,,,3,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,756,,,,4,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,321,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,354,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,711,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,551,,,,6,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,520,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,555,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,620,17.4,15.5,48,53,Smallmouth Buffalo,510,,,,,,
