Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Fyke,18,6/18/2019 14:52,6/19/2019 16:34,25.700,,,,NO FISH,,,,,,,
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,Spotted Gar,591,,,,,,
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,White Crappie,189,0.1,,,,,0
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,White Crappie,214,0.1,,,,,0
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,White Crappie,321,0.3,13543,13542,,,1
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,White Crappie,279,0.3,,,,,0
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,Redear Sunfish,76,,,,,,0
Fyke,3,6/18/2019 14:28,6/19/2019 16:41,26.217,,,,Redear Sunfish,54,,,,,,1
Fyke,135,6/18/2019 15:00,6/19/2019 15:10,24.167,,,,Redear Sunfish,52,,,,,,1
Fyke,135,6/18/2019 15:00,6/19/2019 15:10,24.167,,,,White Crappie,,0.6,13046,13047,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,119,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Spotted Gar,522,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,White Crappie,300,0.4,13048,13049,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,White Crappie,305,0.4,13548,13549,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,White Crappie,278,0.5,13547,13546,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,171,,,,,,0
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,125,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,132,,,,,,0
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,82,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Redear Sunfish,73,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,White Crappie,135,,,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,White Crappie,153,,13544,,,,1
Fyke,38,6/18/2019 15:33,6/19/2019 16:16,24.717,,,,Bluegill,132,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,White Crappie,280,0.5,13536,15537,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Spotted Gar,580,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Bluegill,109,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Bluegill,99,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,White Crappie,130,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,White Crappie,100,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Redear Sunfish,76,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Bluegill,64,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Redear Sunfish,118,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Redear Sunfish,62,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Bluegill,71,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,White Crappie,62,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Redear Sunfish,88,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,White Crappie,153,,,,,,1
Fyke,38,6/19/2019 15:43,6/20/2019 11:05,19.367,,,,Bluegill,99,,,,,,1
Fyke,135,6/19/2019 15:20,6/20/2019 11:45,20.417,8.960,29.600,54,Redear Sunfish,111,,,,,,0
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,6.480,28.500,,White Crappie,108,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,White Crappie,98,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Green Sunfish,76,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Redear Sunfish,104,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,White Crappie,74,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Bluegill,86,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Bluegill,57,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Bluegill,51,,,,,,1
Fyke,3,6/19/2019 16:51,6/20/2019 10:29,17.633,,,,Bluegill,68,,,,,,1
Fyke,18,6/19/2019 17:10,6/20/2019 10:45,17.583,,,,Bluegill,56,,,,,,1
Fyke,18,6/19/2019 17:10,6/20/2019 10:45,17.583,,,,Bluegill,84,,,,,,1
Trotline,22,6/18/2019 18:01,6/19/2019 15:17,21.267,,,,Channel Catfish,411,,,,,Blue,1
Trotline,32,6/18/2019 17:19,6/19/2019 18:57,25.633,,,,Channel Catfish,475,0.8,,,,White,1
Trotline,32,6/18/2019 17:19,6/19/2019 18:57,25.633,,,,Channel Catfish,396,0.4,,,,White,1
Trotline,118,6/18/2019 18:45,6/19/2019 14:35,19.833,8.270,29.900,42,NO FISH,,,,,,,
Trotline,118,6/19/2019 14:45,6/20/2019 12:00,21.250,,,56,Channel Catfish,384,0.4,13035,13034,,Yellow,1
Trotline,13,6/18/2019 16:00,6/19/2019 16:56,24.933,,,,Channel Catfish,425,0.6,13541,13540,,Blue,1
Trotline,13,6/19/2019 18:01,6/20/2019 12:30,18.483,9.170,29.300,51,Channel Catfish,479,0.8,13533,13532,,White,1
Trotline,56,6/18/2019 18:27,6/19/2019 17:30,23.050,,,,Channel Catfish,503,,,,,Yellow,1
Trotline,56,6/19/2019 17:40,6/20/2019 13:04,19.400,7.080,27.800,100,NO FISH,,,,,,,
Trotline,61,6/18/2019 19:23,6/19/2019 17:45,22.367,,,,NO FISH,,,,,,,
