White Crappie,Warmouth,Brown Bullhead,Bluegill,Green Sunfish,Redear Sunfish,Pirate Perch,Black Crappie,Spotted Gar,Bowfin,Spotted Sucker,Blacktail Redhorse,Lake Chubsucker,Striped Shiner,Flier,Golden Shiner
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0
2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,1,0,5,1,0,0,4,2,0,0,0,1,2,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0
1,0,0,4,0,0,0,2,6,1,0,0,0,4,0,1
3,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
