Gear Type,Waypoint,Set Time,Pull time,Set Time,Turbidity (cm),Depth (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,,
Minnow Trap,1E11,1/31/2020 16:15,2/1/2020 8:22,,24,24,Bluegill,56,,,,,,
Minnow Trap,1E11,1/31/2020 16:15,2/1/2020 8:22,,24,24,Bluegill,58,,,,,,
Minnow Trap,1E11,1/31/2020 16:15,2/1/2020 8:22,,24,24,Green Sunfish,64,,,,,,
Minnow Trap,1E7,1/31/2020 14:25,2/1/2020 9:45,,,,NA,,,,,,,
Minnow Trap,2E7,1/31/2020 15:23,2/1/2020 10:00,,,,NA,,,,,,,
Minnow Trap,2E2,1/31/2020 15:27,2/1/2020 10:30,,,,NA,,,,,,,
Minnow Trap,1E6,2/1/2020 10:30,2/2/2020 10:15,,,,NA,,,,,,,
Minnow Trap,1E8,2/1/2020 11:00,2/2/2020 9:15,,45,100,NA,,,,,,,
Minnow Trap,2E4,2/1/2020 13:55,2/2/2020 9:29,,47,112,NA,,,,,,,
Minnow Trap,2E3,2/1/2020 14:10,2/2/2020 14:10,,41,111,NA,,,,,,,
Gillnet,2G4,2/2/2020 12:20,2/2/2020 15:05,,,,Gizzard Shad,335,,,,1,,
Gillnet,2G4,2/2/2020 12:20,2/2/2020 15:05,,,,Spotted Gar,664,,,,5,,
Gillnet,1G4,2/1/2020 8:50,2/1/2020 11:55,,51,221,Gizzard Shad,146,,,,4,,
Gillnet,2G2,2/1/2020 8:16,2/1/2020 11:04,,54,150,NA,,,,,,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Smallmouth Buffalo,432,,,,3,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Spotted Gar,570,,,,3,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Longnose Gar,970,,,,7,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Gizzard Shad,190,,,,7,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Spotted Gar,560,,,,7,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Longnose Gar,820,,,,8,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Longnose Gar,1160,,,,8,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Spotted Gar,646,,,,8,,
Gillnet,1G3,2/2/2020 11:10,2/2/2020 13:20,,,,Longnose Gar,775,,,,8,,
Fyke,2E6,1/31/2020 14:53,2/1/2020 12:40,,50,50,White Crappie,365,0.65,,,,,
Fyke,2E6,1/31/2020 14:53,2/1/2020 12:40,,50,50,White Crappie,146,,,,,,
Fyke,2E6,1/31/2020 14:53,2/1/2020 12:40,,50,50,Redear Sunfish,205,0.25,,,,,
