,LATITUDE,LONGITUDE
1E 1,33.27739,-88.77749
1E 2,33.28052,-88.77819
1E 3,33.27135,-88.78325
1E 4,33.27128,-88.78035
1E 5,33.27063,-88.78582
1E 6,33.27128,-88.78112
1E 7,33.2784,-88.77769
1E 8,33.27187,-88.78769
1E 9,33.27817,-88.77762
1E 10,33.27133,-88.78738
1E 11,33.27128,-88.78071
1E 12,33.27207,-88.78779
1E 13,33.27178,-88.77893
1E 14,33.28109,-88.77834
1E 15,33.27454,-88.77691
1E 16,33.27388,-88.77674
1E 17,33.27157,-88.78275
1E 18,33.27978,-88.77794
1E 19,33.27714,-88.77741
1E 20,33.27187,-88.77992
1E 21,33.27083,-88.78543
1E 22,33.27978,-88.77794
1E 23,33.27192,-88.77913
1E 24,33.27092,-88.78485
1E 25,33.27498,-88.77702
1E 26,33.27909,-88.77776
1E 27,33.27632,-88.77723
1E 28,33.27119,-88.78417
1E 29,33.27045,-88.78678
1E 30,33.27574,-88.77715
1E 31,33.27024,-88.78638
1E 32,33.27144,-88.7818
1E 33,33.28007,-88.77805
1E 34,33.27802,-88.77762
1E 35,33.27079,-88.78708
1G 1,33.2756,-88.7843
1G 2,33.2716,-88.7835
1G 3,33.2748,-88.7827
1G 4,33.2732,-88.7803
1G 5,33.2796,-88.7827
1G 6,33.2732,-88.7843
1G 7,33.2772,-88.7787
1G 8,33.2764,-88.7843
1G 9,33.2748,-88.7795
1G 10,33.2756,-88.7859
1G 11,33.274,-88.7795
1G 12,33.2772,-88.7835
1G 13,33.2788,-88.7803
1G 14,33.2732,-88.7819
1G 15,33.2796,-88.7851
1G 16,33.2772,-88.7827
1G 17,33.2724,-88.7859
1G 18,33.278,-88.7779
1G 19,33.2764,-88.7811
1G 20,33.274,-88.7779
1G 21,33.2764,-88.7787
1G 22,33.278,-88.7803
1G 23,33.2764,-88.7835
1G 24,33.2812,-88.7819
1G 25,33.2748,-88.7851
1G 26,33.274,-88.7827
1G 27,33.2788,-88.7787
1G 28,33.274,-88.7787
1G 29,33.2748,-88.7771
1G 30,33.2796,-88.7803
1G 31,33.2732,-88.7851
1G 32,33.278,-88.7795
1G 33,33.2756,-88.7819
1G 34,33.2732,-88.7827
1G 35,33.2724,-88.7819
1G 36,33.2732,-88.7835
1G 37,33.2772,-88.7843
1G 38,33.2748,-88.7779
1G 39,33.2724,-88.7835
1G 40,33.278,-88.7787
1G 41,33.2804,-88.7843
1G 42,33.2772,-88.7811
1G 43,33.2756,-88.7779
1G 44,33.2716,-88.7811
1G 45,33.2756,-88.7787
1G 46,33.274,-88.7819
1G 47,33.2724,-88.7803
1G 48,33.2804,-88.7819
1G 49,33.2764,-88.7827
1G 50,33.2748,-88.7803
1G 51,33.2732,-88.7787
1G 52,33.2732,-88.7859
1G 53,33.2748,-88.7787
1G 54,33.2708,-88.7859
1G 55,33.278,-88.7851
1G 56,33.2788,-88.7819
1G 57,33.2748,-88.7835
1G 58,33.278,-88.7843
1G 59,33.2748,-88.7859
1G 60,33.2796,-88.7859
1G 61,33.2788,-88.7843
1G 62,33.278,-88.7819
1G 63,33.2788,-88.7795
1G 64,33.274,-88.7811
1G 65,33.2756,-88.7803
1G 66,33.2732,-88.7867
1G 67,33.2748,-88.7819
1G 68,33.278,-88.7859
1G 69,33.2772,-88.7851
1G 70,33.2804,-88.7859
1G 71,33.2772,-88.7859
1G 72,33.2804,-88.7827
1G 73,33.2788,-88.7827
1G 74,33.2796,-88.7795
1G 75,33.2724,-88.7795
1G 76,33.2716,-88.7843
1G 77,33.2724,-88.7875
1G 78,33.2708,-88.7867
1G 79,33.2796,-88.7811
1G 80,33.2796,-88.7819
1G 81,33.2732,-88.7795
1G 82,33.2804,-88.7787
1G 83,33.2796,-88.7835
1G 84,33.2716,-88.7851
1G 85,33.2732,-88.7811
1G 86,33.2812,-88.7835
1G 87,33.2716,-88.7859
1G 88,33.2788,-88.7859
1G 89,33.274,-88.7835
1G 90,33.274,-88.7867
1G 91,33.2764,-88.7779
1G 92,33.2772,-88.7795
1G 93,33.2724,-88.7867
1G 94,33.2772,-88.7803
1G 95,33.2804,-88.7835
