x1,x2,N,
-88.7868,33.2706,1,72
-88.786,33.2706,2,
-88.7868,33.2714,3,
-88.786,33.2714,4,
-88.7852,33.2714,5,
-88.7844,33.2714,6,
-88.7836,33.2714,7,
-88.7812,33.2714,8,
-88.778,33.2714,9,
-88.7876,33.2722,10,
-88.7868,33.2722,11,
-88.786,33.2722,12,
-88.7852,33.2722,13,
-88.7844,33.2722,14,
-88.7836,33.2722,15,
-88.7828,33.2722,16,
-88.782,33.2722,17,
-88.7812,33.2722,18,
-88.7804,33.2722,19,
-88.7796,33.2722,20,
-88.7788,33.2722,21,
-88.778,33.2722,22,
-88.7892,33.273,23,
-88.7876,33.273,25,
-88.7868,33.273,26,
-88.7844,33.273,29,
-88.7836,33.273,30,
-88.7828,33.273,31,
-88.782,33.273,32,
-88.7812,33.273,33,
-88.7804,33.273,34,
-88.7796,33.273,35,
-88.7788,33.273,36,
-88.778,33.273,37,
-88.7772,33.273,38,
-88.79,33.2738,39,
-88.7892,33.2738,40,
-88.7884,33.2738,41,
-88.7788,33.2738,53,
-88.778,33.2738,54,
-88.7772,33.2738,55,
-88.7908,33.2746,56,
-88.79,33.2746,57,
-88.7892,33.2746,58,
-88.7788,33.2746,71,
-88.778,33.2746,72,
-88.7772,33.2746,73,
-88.7908,33.2754,74,
-88.79,33.2754,75,
-88.7892,33.2754,76,
-88.7788,33.2754,89,
-88.778,33.2754,90,
-88.7772,33.2754,91,
-88.79,33.2762,92,
-88.7892,33.2762,93,
-88.7884,33.2762,94,
-88.7796,33.2762,105,
-88.7788,33.2762,106,
-88.778,33.2762,107,
-88.7892,33.277,108,
-88.7884,33.277,109,
-88.7876,33.277,110,
-88.7796,33.277,120,
-88.7788,33.277,121,
-88.778,33.277,122,
-88.7884,33.2778,123,
-88.7876,33.2778,124,
-88.7868,33.2778,125,
-88.7796,33.2778,134,
-88.7788,33.2778,135,
-88.778,33.2778,136,
-88.7884,33.2786,137,
-88.7876,33.2786,138,
-88.7868,33.2786,139,
-88.7796,33.2786,148,
-88.7788,33.2786,149,
-88.778,33.2786,150,
-88.7876,33.2794,151,
-88.7868,33.2794,152,
-88.786,33.2794,153,
-88.7796,33.2794,161,
-88.7788,33.2794,162,
-88.778,33.2794,163,
-88.7804,33.2802,172,
-88.7796,33.2802,173,
-88.7788,33.2802,174,
-88.7804,33.281,182,
-88.7796,33.281,183,
-88.7788,33.281,184,
-88.7812,33.2818,189,
-88.7804,33.2818,190,
-88.7812,33.2826,192,
-88.7804,33.2826,193,
