Waypoint,LATITUDE,LONGITUDE,,,,,,,,
1E 1,33.27739,-88.77749,,,,,,,,
1E 2,33.28052,-88.77819,,,,,,,,
1E 3,33.27135,-88.78325,,,,,,,,
1E 6,33.27128,-88.78112,,,,,,,,
1E 7,33.2784,-88.77769,,,,,,,,
1E 8,33.27187,-88.78769,,,,,,,,
1E 9,33.27817,-88.77762,,,,,,,,
1E 11,33.27128,-88.78071,,,,,,,,
1E 13,33.27178,-88.77893,,,,,,,,
1E 14,33.28109,-88.77834,,,,,,,,
1E 15,33.27454,-88.77691,,,,,,,,
1E 16,33.27388,-88.77674,,,,,,,,
1E 17,33.27157,-88.78275,,,,,,,,
1E 18,33.27978,-88.77794,,,,,,,,
1E 19,33.27714,-88.77741,,,,,,,,
1E 20,33.27187,-88.77992,,,,,,,,
1E 22,33.27978,-88.77794,,,,,,,,
1E 23,33.27192,-88.77913,,,,,,,,
1E 25,33.27498,-88.77702,,,,,,,,
1E 26,33.27909,-88.77776,,,,,,,,
1E 27,33.27632,-88.77723,,,,,,,,
1E 32,33.27144,-88.7818,,,,,,,,
1E 33,33.28007,-88.77805,,,,,,,,
1G 1,33.2756,-88.7843,,,,,,,,
1G 3,33.2748,-88.7827,,,,,,,,
1G 4,33.2732,-88.7803,,,,,,,,
1G 5,33.2796,-88.7827,,,,,,,,
1G 7,33.2772,-88.7787,,,,,,,,
1G 9,33.2748,-88.7795,,,,,,,,
2E 1,33.27309,-88.7892,,,,,,,,
2E 2,33.28786,-88.7839,,,,,,,,
2E 3,33.27961,-88.79426,,,,,,,,
2E 4,33.27985,-88.78798,,,,,,,,
2E 5,33.27802,-88.78866,,,,,,,,
2E 6,33.28664,-88.78059,,,,,,,,
2E 7,33.28856,-88.78611,,,,,,,,
2E 8,33.28145,-88.79229,,,,,,,,
2E 9,33.29173,-88.79615,,,,,,,,
2E 10,33.28131,-88.7901,,,,,,,,
2E 11,33.27542,-88.79107,,,,,,,,
2E 12,33.28957,-88.78944,,,,,,,,
2E 13,33.28134,-88.79135,,,,,,,,
2E 14,33.28179,-88.7786,,,,,,,,
2E 15,33.28975,-88.79053,,,,,,,,
2E 19,33.28025,-88.78843,,,,,,,,
2E 20,33.29044,-88.79202,,,,,,,,
2E 21,33.28728,-88.78205,,,,,,,,
2E 22,33.28768,-88.78336,,,,,,,,
2E 23,33.28709,-88.78155,,,,,,,,
2E 24,33.28823,-88.78504,,,,,,,,
2E 25,33.29127,-88.79475,,,,,,,,
2E 26,33.27357,-88.79039,,,,,,,,
2E 28,33.28101,-88.78946,,,,,,,,
2G 1,33.2868,-88.7855,,,,,,,,
2G 2,33.2828,-88.7847,,,,,,,,
2G 3,33.282,-88.7847,,,,,,,,
2G 4,33.2836,-88.7847,,,,,,,,
2G 5,33.2868,-88.7847,,,,,,,,
2G 7,33.2844,-88.7847,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
