,x1,x2
1G 1,-88.7843,33.2756
1G 2,-88.7835,33.2716
1G 3,-88.7827,33.2748
1G 4,-88.7803,33.2732
1G 5,-88.7827,33.2796
1G 6,-88.7843,33.2732
1G 7,-88.7787,33.2772
1G 8,-88.7843,33.2764
1G 9,-88.7795,33.2748
1G 10,-88.7859,33.2756
1G 11,-88.7795,33.274
1G 12,-88.7835,33.2772
1G 13,-88.7803,33.2788
1G 14,-88.7819,33.2732
1G 15,-88.7851,33.2796
1G 16,-88.7827,33.2772
1G 17,-88.7859,33.2724
1G 18,-88.7779,33.278
1G 19,-88.7811,33.2764
1G 20,-88.7779,33.274
1G 21,-88.7787,33.2764
1G 22,-88.7803,33.278
1G 23,-88.7835,33.2764
1G 24,-88.7819,33.2812
1G 25,-88.7851,33.2748
1G 26,-88.7827,33.274
1G 27,-88.7787,33.2788
1G 28,-88.7787,33.274
1G 29,-88.7771,33.2748
1G 30,-88.7803,33.2796
1G 31,-88.7851,33.2732
1G 32,-88.7795,33.278
1G 33,-88.7819,33.2756
1G 34,-88.7827,33.2732
1G 35,-88.7819,33.2724
1G 36,-88.7835,33.2732
1G 37,-88.7843,33.2772
1G 38,-88.7779,33.2748
1G 39,-88.7835,33.2724
1G 40,-88.7787,33.278
1G 41,-88.7843,33.2804
1G 42,-88.7811,33.2772
1G 43,-88.7779,33.2756
1G 44,-88.7811,33.2716
1G 45,-88.7787,33.2756
1G 46,-88.7819,33.274
1G 47,-88.7803,33.2724
1G 48,-88.7819,33.2804
1G 49,-88.7827,33.2764
1G 50,-88.7803,33.2748
1G 51,-88.7787,33.2732
1G 52,-88.7859,33.2732
1G 53,-88.7787,33.2748
1G 54,-88.7859,33.2708
1G 55,-88.7851,33.278
1G 56,-88.7819,33.2788
1G 57,-88.7835,33.2748
1G 58,-88.7843,33.278
1G 59,-88.7859,33.2748
1G 60,-88.7859,33.2796
1G 61,-88.7843,33.2788
1G 62,-88.7819,33.278
1G 63,-88.7795,33.2788
1G 64,-88.7811,33.274
1G 65,-88.7803,33.2756
1G 66,-88.7867,33.2732
1G 67,-88.7819,33.2748
1G 68,-88.7859,33.278
1G 69,-88.7851,33.2772
1G 70,-88.7859,33.2804
1G 71,-88.7859,33.2772
1G 72,-88.7827,33.2804
1G 73,-88.7827,33.2788
1G 74,-88.7795,33.2796
1G 75,-88.7795,33.2724
1G 76,-88.7843,33.2716
1G 77,-88.7875,33.2724
1G 78,-88.7867,33.2708
1G 79,-88.7811,33.2796
1G 80,-88.7819,33.2796
1G 81,-88.7795,33.2732
1G 82,-88.7787,33.2804
1G 83,-88.7835,33.2796
1G 84,-88.7851,33.2716
1G 85,-88.7811,33.2732
1G 86,-88.7835,33.2812
1G 87,-88.7859,33.2716
1G 88,-88.7859,33.2788
1G 89,-88.7835,33.274
1G 90,-88.7867,33.274
1G 91,-88.7779,33.2764
1G 92,-88.7795,33.2772
1G 93,-88.7867,33.2724
1G 94,-88.7803,33.2772
1G 95,-88.7835,33.2804
1G 96,-88.7811,33.2748
1G 97,-88.7867,33.2748
1G 98,-88.7851,33.2724
1G 99,-88.7835,33.2756
1G 100,-88.7851,33.274
1G 101,-88.7875,33.2732
1G 102,-88.7843,33.2724
1G 103,-88.7779,33.2724
1G 104,-88.7787,33.2796
1G 105,-88.7819,33.2772
1G 106,-88.7819,33.2716
1G 107,-88.7827,33.2812
1G 108,-88.7851,33.2788
1G 109,-88.7779,33.2772
1G 110,-88.7771,33.2724
1G 111,-88.7811,33.278
1G 112,-88.7771,33.274
1G 113,-88.7795,33.2756
1G 114,-88.7803,33.2764
1G 115,-88.7811,33.2804
1G 116,-88.7851,33.2756
1G 117,-88.7771,33.2732
1G 118,-88.7803,33.2812
1G 119,-88.7843,33.2796
1G 120,-88.7811,33.2724
1G 121,-88.7851,33.2764
1G 122,-88.7811,33.2756
1G 123,-88.7835,33.278
1G 124,-88.7835,33.2788
1G 125,-88.7827,33.2756
1G 126,-88.7843,33.2748
1G 127,-88.7843,33.274
1G 128,-88.7779,33.2788
1G 129,-88.7795,33.2804
1G 130,-88.7787,33.2724
1G 131,-88.7859,33.274
1G 132,-88.7803,33.2804
1G 133,-88.7867,33.2716
1G 134,-88.7851,33.2804
1G 135,-88.7795,33.2764
1G 136,-88.7827,33.2724
1G 137,-88.7859,33.2764
1G 138,-88.7779,33.2716
1G 139,-88.7811,33.2788
1G 140,-88.7779,33.2732
1G 141,-88.7811,33.2812
1G 142,-88.7827,33.278
1G 143,-88.7819,33.2764
1G 144,-88.7803,33.274
