,LATITUDE,LONGITUDE
2E 1,33.27309,88.7892
2E 2,33.28786,88.7839
2E 3,33.27961,88.79426
2E 4,33.27985,88.78798
2E 5,33.27802,88.78866
2E 6,33.28664,88.78059
2E 7,33.28856,88.78611
2E 8,33.28145,88.79229
2E 9,33.29173,88.79615
2E 10,33.28131,88.7901
2E 11,33.27542,88.79107
2E 12,33.28957,88.78944
2E 13,33.28134,88.79135
2E 14,33.28179,88.7786
2E 15,33.28975,88.79053
2E 16,33.27921,88.78786
2E 17,33.29196,88.79692
2E 18,33.27998,88.78814
2E 19,33.28025,88.78843
2E 20,33.29044,88.79202
2E 21,33.28728,88.78205
2E 22,33.28768,88.78336
2E 23,33.28709,88.78155
2E 24,33.28823,88.78504
2E 25,33.29127,88.79475
2E 26,33.27357,88.79039
2E 27,33.28074,88.79342
2E 28,33.28101,88.78946
2E 29,33.28233,88.7786
2E 30,33.28893,88.78737
2E 31,33.28278,88.7788
2E 32,33.29069,88.7928
