,x1,x2
2G 1,-88.7855,33.2868
2G 2,-88.7847,33.2828
2G 3,-88.7847,33.282
2G 4,-88.7847,33.2836
2G 5,-88.7847,33.2868
2G 6,-88.7871,33.2812
2G 7,-88.7847,33.2844
2G 8,-88.7871,33.2748
2G 9,-88.7879,33.2804
2G 10,-88.7831,33.2844
2G 11,-88.7879,33.2884
2G 12,-88.7863,33.2876
2G 13,-88.7887,33.2732
2G 14,-88.7847,33.2852
2G 15,-88.7831,33.2836
2G 16,-88.7839,33.2868
2G 17,-88.7871,33.2756
2G 18,-88.7799,33.2852
2G 19,-88.7895,33.282
2G 20,-88.7871,33.2796
2G 21,-88.7879,33.2756
2G 22,-88.7839,33.2844
2G 23,-88.7815,33.2828
2G 24,-88.7839,33.2852
2G 25,-88.7839,33.2812
2G 26,-88.7871,33.2884
2G 27,-88.7815,33.282
2G 28,-88.7863,33.2884
2G 29,-88.7807,33.2852
2G 30,-88.7815,33.2844
2G 31,-88.7823,33.2844
2G 32,-88.7807,33.282
2G 33,-88.7895,33.2812
2G 34,-88.7847,33.2876
2G 35,-88.7879,33.2732
2G 36,-88.7895,33.2892
2G 37,-88.7799,33.2812
2G 38,-88.7855,33.2884
2G 39,-88.7855,33.2812
2G 40,-88.7863,33.2828
2G 41,-88.7863,33.2836
2G 42,-88.7983,33.2924
2G 43,-88.7959,33.2916
2G 44,-88.7831,33.2876
2G 45,-88.7831,33.2852
2G 46,-88.7935,33.2908
2G 47,-88.7871,33.2828
2G 48,-88.7799,33.286
2G 49,-88.7823,33.282
2G 50,-88.7839,33.282
2G 51,-88.7911,33.29
2G 52,-88.7855,33.2844
2G 53,-88.7823,33.2852
2G 54,-88.7863,33.2812
2G 55,-88.7823,33.2836
2G 56,-88.7871,33.2804
2G 57,-88.7815,33.2836
2G 58,-88.7879,33.274
2G 59,-88.7855,33.2836
2G 60,-88.7807,33.2828
2G 61,-88.7879,33.2748
2G 62,-88.7871,33.2772
2G 63,-88.7831,33.2868
2G 64,-88.7831,33.2828
2G 65,-88.7887,33.282
2G 66,-88.7863,33.282
2G 67,-88.7807,33.2868
2G 68,-88.7855,33.2828
2G 69,-88.7799,33.2844
2G 70,-88.7871,33.282
2G 71,-88.7807,33.2844
2G 72,-88.7839,33.2876
2G 73,-88.7887,33.2812
2G 74,-88.7807,33.2836
2G 75,-88.7807,33.286
2G 76,-88.7831,33.282
2G 77,-88.7847,33.2812
2G 78,-88.7815,33.2852
2G 79,-88.7863,33.2804
2G 80,-88.7887,33.2892
2G 81,-88.7823,33.2868
2G 82,-88.7839,33.2828
2G 83,-88.7871,33.2764
2G 84,-88.7839,33.2836
2G 85,-88.7823,33.286
2G 86,-88.7855,33.282
2G 87,-88.7815,33.286
2G 88,-88.7879,33.282
2G 89,-88.7815,33.2868
2G 90,-88.7879,33.2812
2G 91,-88.7855,33.2876
2G 92,-88.7823,33.2828
2G 93,-88.7799,33.2836
2G 94,-88.7871,33.278
2G 95,-88.7863,33.2796
