Longitude,Latitude,name
-88.7843,33.2756,1G 1
-88.7835,33.2716,1G 2
-88.7827,33.2748,1G 3
-88.7803,33.2732,1G 4
-88.7827,33.2796,1G 5
-88.7843,33.2732,1G 6
-88.7855,33.2868,2G 1
-88.7847,33.2828,2G 2
-88.7847,33.282,2G 3
-88.7847,33.2836,2G 4
-88.7847,33.2868,2G 5
-88.7871,33.2812,2G 6
-88.77749,33.27739,1E 1
-88.77819,33.28052,1E 2
-88.78325,33.27135,1E 3
-88.78035,33.27128,1E 4
-88.78582,33.27063,1E 5
-88.78112,33.27128,1E 6
-88.77769,33.2784,1E 7
-88.78769,33.27187,1E 8
-88.77762,33.27817,1E 9
-88.78738,33.27133,1E 10
-88.78071,33.27128,1E 11
-88.78779,33.27207,1E 12
-88.7892,33.27309,2E 1
-88.7839,33.28786,2E 2
-88.79426,33.27961,2E 3
-88.78798,33.27985,2E 4
-88.78866,33.27802,2E 5
-88.78059,33.28664,2E 6
-88.78611,33.28856,2E 7
-88.79229,33.28145,2E 8
-88.79615,33.29173,2E 9
-88.7901,33.28131,2E 10
-88.79107,33.27542,2E 11
