longitude,latitude,
-88.7843,33.2756,1G 1
-88.7835,33.2716,1G 2
-88.7827,33.2796,1G 5
-88.7843,33.2732,1G 6
-88.7787,33.2772,1G 7
-88.7855,33.2868,2G 1
-88.7847,33.282,2G 3
-88.7847,33.2868,2G 5
-88.7871,33.2812,2G 6
-88.7847,33.2844,2G 7
-88.77834,33.28109,1E 14
-88.77691,33.27454,1E 15
-88.77674,33.27388,1E 16
-88.78275,33.27157,1E 17
-88.77794,33.27978,1E 18
-88.77741,33.27714,1E 19
-88.77992,33.27187,1E 20
-88.78543,33.27083,1E 21
-88.77794,33.27978,1E 22
-88.77913,33.27192,1E 23
-88.78485,33.27092,1E 24
-88.77702,33.27498,1E 25
-88.77776,33.27909,1E 26
-88.77723,33.27632,1E 27
-88.78417,33.27119,1E 28
-88.78678,33.27045,1E 29
-88.77715,33.27574,1E 30
-88.78638,33.27024,1E 31
-88.7818,33.27144,1E 32
-88.77805,33.28007,1E 33
-88.77762,33.27802,1E 34
-88.7892,33.27309,2E 1
-88.78866,33.27802,2E 5
-88.79107,33.27542,2E 11
-88.78944,33.28957,2E 12
-88.79135,33.28134,2E 13
-88.7786,33.28179,2E 14
-88.79053,33.28975,2E 15
-88.78786,33.27921,2E 16
-88.79692,33.29196,2E 17
-88.78814,33.27998,2E 18
-88.78843,33.28025,2E 19
-88.79202,33.29044,2E 20
-88.78205,33.28728,2E 21
-88.78336,33.28768,2E 22
-88.78155,33.28709,2E 23
-88.78504,33.28823,2E 24
-88.79475,33.29127,2E 25
-88.79039,33.27357,2E 26
-88.79342,33.28074,2E 27
-88.78946,33.28101,2E 28
-88.7786,33.28233,2E 29
-88.78737,33.28893,2E 30
-88.7788,33.28278,2E 31
-88.7928,33.29069,2E 32
