"","elevation","WB","WF","Fish","Anglers","Ramp","DOY"
"1",66.45402,1,1,0,0,0,1
"2",66.66232,0.993567097503946,0.988996066434024,0.011003933565976,0.00430604093859211,0,1
"3",66.87062,0.982342296594058,0.960628742358234,0.0393712576417659,0.0310159760359461,0,1
"4",67.07892,0.953203808128433,0.878323297871561,0.121676702128439,0.0727658512231653,0,1
"5",67.28722,0.86730551708278,0.69029109644618,0.30970890355382,0.123689465801298,0.321428571428571,1
"6",67.49552,0.679397542344045,0.499325210734227,0.500674789265773,0.161757363954069,0.482142857142857,1
"7",67.70382,0.490315786625765,0.331627775980434,0.668372224019566,0.188155267099351,1,1
"8",67.91212,0.324548359672299,0.19143075217278,0.808569247827221,0.313966550174738,1,1
"9",68.12042,0.186056772289612,0.112166832615617,0.887833167384383,0.43728157763355,1,1
"10",68.32872,0.108676718033459,0.0217879978599391,0.978212002140061,0.611145781328008,1,1
"11",68.53702,0.0212976731457018,0.0106887876094242,0.989311212390576,0.850099850224663,1,1
"12",68.74532,0.00999586887368015,0.000146579514675227,0.999853420485325,0.995506739890165,1,1
"13",68.95362,0.000142560278544054,6.91017712040355e-05,0.999930898228796,0.998689465801298,1,1
"14",69.16192,6.76380883603175e-05,7.32897573376135e-06,0.999992671024266,0.999687968047928,1,1
"15",69.37022,7.2841018234188e-06,2.09399306678896e-06,0.999997906006933,0.999937593609585,1,1
"16",69.57852,2.08117194954823e-06,0,1,1,1,1
"17",69.78682,0,0,1,1,1,1
"18",69.99512,0,0,1,1,1,1
"19",66.45402,1,1,0,0,0,2
"20",66.66232,0.993567097503946,0.988996066434024,0.011003933565976,0.00430604093859211,0,2
"21",66.87062,0.982342296594058,0.960628742358234,0.0393712576417659,0.0310159760359461,0,2
"22",67.07892,0.953203808128433,0.878323297871561,0.121676702128439,0.0727658512231653,0,2
"23",67.28722,0.86730551708278,0.69029109644618,0.30970890355382,0.123689465801298,0.321428571428571,2
"24",67.49552,0.679397542344045,0.499325210734227,0.500674789265773,0.161757363954069,0.482142857142857,2
"25",67.70382,0.490315786625765,0.331627775980434,0.668372224019566,0.188155267099351,1,2
"26",67.91212,0.324548359672299,0.19143075217278,0.808569247827221,0.313966550174738,1,2
"27",68.12042,0.186056772289612,0.112166832615617,0.887833167384383,0.43728157763355,1,2
"28",68.32872,0.108676718033459,0.0217879978599391,0.978212002140061,0.611145781328008,1,2
"29",68.53702,0.0212976731457018,0.0106887876094242,0.989311212390576,0.850099850224663,1,2
"30",68.74532,0.00999586887368015,0.000146579514675227,0.999853420485325,0.995506739890165,1,2
"31",68.95362,0.000142560278544054,6.91017712040355e-05,0.999930898228796,0.998689465801298,1,2
"32",69.16192,6.76380883603175e-05,7.32897573376135e-06,0.999992671024266,0.999687968047928,1,2
"33",69.37022,7.2841018234188e-06,2.09399306678896e-06,0.999997906006933,0.999937593609585,1,2
"34",69.57852,2.08117194954823e-06,0,1,1,1,2
"35",69.78682,0,0,1,1,1,2
"36",69.99512,0,0,1,1,1,2
"37",66.45402,1,1,0,0,0,3
"38",66.66232,0.993567097503946,0.988996066434024,0.011003933565976,0.00430604093859211,0,3
"39",66.87062,0.982342296594058,0.960628742358234,0.0393712576417659,0.0310159760359461,0,3
"40",67.07892,0.953203808128433,0.878323297871561,0.121676702128439,0.0727658512231653,0,3
"41",67.28722,0.86730551708278,0.69029109644618,0.30970890355382,0.123689465801298,0.321428571428571,3
"42",67.49552,0.679397542344045,0.499325210734227,0.500674789265773,0.161757363954069,0.482142857142857,3
"43",67.70382,0.490315786625765,0.331627775980434,0.668372224019566,0.188155267099351,1,3
"44",67.91212,0.324548359672299,0.19143075217278,0.808569247827221,0.313966550174738,1,3
"45",68.12042,0.186056772289612,0.112166832615617,0.887833167384383,0.43728157763355,1,3
"46",68.32872,0.108676718033459,0.0217879978599391,0.978212002140061,0.611145781328008,1,3
"47",68.53702,0.0212976731457018,0.0106887876094242,0.989311212390576,0.850099850224663,1,3
"48",68.74532,0.00999586887368015,0.000146579514675227,0.999853420485325,0.995506739890165,1,3
"49",68.95362,0.000142560278544054,6.91017712040355e-05,0.999930898228796,0.998689465801298,1,3
"50",69.16192,6.76380883603175e-05,7.32897573376135e-06,0.999992671024266,0.999687968047928,1,3
"51",69.37022,7.2841018234188e-06,2.09399306678896e-06,0.999997906006933,0.999937593609585,1,3
"52",69.57852,2.08117194954823e-06,0,1,1,1,3
"53",69.78682,0,0,1,1,1,3
"54",69.99512,0,0,1,1,1,3
"55",66.45402,1,1,0,0,0,4
"56",66.66232,0.993567097503946,0.988996066434024,0.011003933565976,0.00430604093859211,0,4
"57",66.87062,0.982342296594058,0.960628742358234,0.0393712576417659,0.0310159760359461,0,4
"58",67.07892,0.953203808128433,0.878323297871561,0.121676702128439,0.0727658512231653,0,4
"59",67.28722,0.86730551708278,0.69029109644618,0.30970890355382,0.123689465801298,0.321428571428571,4
"60",67.49552,0.679397542344045,0.499325210734227,0.500674789265773,0.161757363954069,0.482142857142857,4
"61",67.70382,0.490315786625765,0.331627775980434,0.668372224019566,0.188155267099351,1,4
"62",67.91212,0.324548359672299,0.19143075217278,0.808569247827221,0.313966550174738,1,4
