tempC,DO_dusk,elevation,Vol6.5,Vol6,Vol5.5,Vol5,Vol4.5,Vol4,Vol3.5,Vol3
5,5,64.4,0,0,0,0,0,0,0,0
6,5,64.4,0,0,0,0,0,0,0,0
7,5,64.4,0,0,0,0,0,0,0,0
8,5,64.4,0,0,0,0,0,0,0,0
9,5,64.4,0,0,0,0,0,0,0,0
10,5,64.4,0,0,0,0,0,0,0,0
11,5,64.4,0,0,0,0,0,0,0,0
12,5,64.4,0,0,0,0,0,0,0,0
13,5,64.4,0,0,0,0,0,0,0,0
14,5,64.4,0,0,0,0,0,0,0,0
15,5,64.4,0,0,0,0,0,0,0,0
16,5,64.4,0,0,0,0,0,0,0,0
17,5,64.4,0,0,0,0,0,0,0,0
18,5,64.4,0,0,0,0,0,0,0,0
19,5,64.4,0,0,0,0,0,0,0,0
20,5,64.4,0,0,0,0,0,0,0,0
21,5,64.4,0,0,0,0,0,0,0,0
22,5,64.4,0,0,0,0,0,0,0,0
23,5,64.4,0,0,0,0,0,0,0,0
24,5,64.4,0,0,0,0,0,0,0,0
25,5,64.4,0,0,0,0,0,0,0,0
26,5,64.4,0,0,0,0,0,0,0,0
27,5,64.4,0,0,0,0,0,0,0,0
28,5,64.4,0,0,0,0,0,0,0,0
29,5,64.4,0,0,0,0,0,0,0,0
30,5,64.4,0,0,0,0,0,0,0,0
5,6,64.4,0,0,0,0,0,0,0,0
6,6,64.4,0,0,0,0,0,0,0,0
7,6,64.4,0,0,0,0,0,0,0,0
8,6,64.4,0,0,0,0,0,0,0,0
9,6,64.4,0,0,0,0,0,0,0,0
10,6,64.4,0,0,0,0,0,0,0,0
11,6,64.4,0,0,0,0,0,0,0,0
12,6,64.4,0,0,0,0,0,0,0,0
13,6,64.4,0,0,0,0,0,0,0,0
14,6,64.4,0,0,0,0,0,0,0,0
15,6,64.4,0,0,0,0,0,0,0,0
16,6,64.4,0,0,0,0,0,0,0,0
17,6,64.4,0,0,0,0,0,0,0,0
18,6,64.4,0,0,0,0,0,0,0,0
19,6,64.4,0,0,0,0,0,0,0,0
20,6,64.4,0,0,0,0,0,0,0,0
21,6,64.4,0,0,0,0,0,0,0,0
22,6,64.4,0,0,0,0,0,0,0,0
23,6,64.4,0,0,0,0,0,0,0,0
24,6,64.4,0,0,0,0,0,0,0,0
25,6,64.4,0,0,0,0,0,0,0,0
26,6,64.4,0,0,0,0,0,0,0,0
27,6,64.4,0,0,0,0,0,0,0,0
28,6,64.4,0,0,0,0,0,0,0,0
29,6,64.4,0,0,0,0,0,0,0,0
30,6,64.4,0,0,0,0,0,0,0,0
5,7,64.4,0,0,0,0,0,0,0,0
6,7,64.4,0,0,0,0,0,0,0,0
7,7,64.4,0,0,0,0,0,0,0,0
8,7,64.4,0,0,0,0,0,0,0,0
9,7,64.4,0,0,0,0,0,0,0,0
10,7,64.4,0,0,0,0,0,0,0,0
11,7,64.4,0,0,0,0,0,0,0,0
12,7,64.4,0,0,0,0,0,0,0,0
13,7,64.4,0,0,0,0,0,0,0,0
14,7,64.4,0,0,0,0,0,0,0,0
15,7,64.4,0,0,0,0,0,0,0,0
16,7,64.4,0,0,0,0,0,0,0,0
17,7,64.4,0,0,0,0,0,0,0,0
18,7,64.4,0,0,0,0,0,0,0,0
19,7,64.4,0,0,0,0,0,0,0,0
20,7,64.4,0,0,0,0,0,0,0,0
21,7,64.4,0,0,0,0,0,0,0,0
22,7,64.4,0,0,0,0,0,0,0,0
23,7,64.4,0,0,0,0,0,0,0,0
24,7,64.4,0,0,0,0,0,0,0,0
25,7,64.4,0,0,0,0,0,0,0,0
26,7,64.4,0,0,0,0,0,0,0,0
27,7,64.4,0,0,0,0,0,0,0,0
28,7,64.4,0,0,0,0,0,0,0,0
29,7,64.4,0,0,0,0,0,0,0,0
30,7,64.4,0,0,0,0,0,0,0,0
5,8,64.4,0,0,0,0,0,0,0,0
6,8,64.4,0,0,0,0,0,0,0,0
7,8,64.4,0,0,0,0,0,0,0,0
8,8,64.4,0,0,0,0,0,0,0,0
9,8,64.4,0,0,0,0,0,0,0,0
10,8,64.4,0,0,0,0,0,0,0,0
11,8,64.4,0,0,0,0,0,0,0,0
12,8,64.4,0,0,0,0,0,0,0,0
13,8,64.4,0,0,0,0,0,0,0,0
14,8,64.4,0,0,0,0,0,0,0,0
15,8,64.4,0,0,0,0,0,0,0,0
16,8,64.4,0,0,0,0,0,0,0,0
17,8,64.4,0,0,0,0,0,0,0,0
