"","tempC","DO_dusk","elevation","Vol6.5","Vol6","Vol5.5","Vol5","Vol4.5","Vol4","Vol3.5","Vol3"
"1",5,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"2",6,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"3",7,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"4",8,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"5",9,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"8",12,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"9",13,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"11",15,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"12",16,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"13",17,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"14",18,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"15",19,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"16",20,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"17",21,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"18",22,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"19",23,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"20",24,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"21",25,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"22",26,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"23",27,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"24",28,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"25",29,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"26",30,5,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"27",5,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"28",6,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"29",7,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"30",8,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"31",9,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"32",10,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"33",11,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"34",12,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"35",13,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"36",14,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"37",15,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"38",16,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"39",17,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"40",18,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"41",19,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"42",20,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"43",21,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"44",22,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"45",23,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"46",24,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"47",25,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
"48",26,6,66.66232,NA,NA,NA,NA,NA,NA,NA,NA
