tempC,DO_dusk,elevation,Vol6.5,Vol6,Vol5.5,Vol5,Vol4.5,Vol4,Vol3.5,Vol3
5,5,66.66,0,0,0,10750.4399999999,30270.9999999998,30270.9999999998,30270.9999999998,30270.9999999998
6,5,66.66,,,,,,,,
7,5,66.66,,,,,,,,
8,5,66.66,,,,,,,,
9,5,66.66,,,,,,,,
10,5,66.66,,,,,,,,
11,5,66.66,,,,,,,,
12,5,66.66,,,,,,,,
13,5,66.66,,,,,,,,
14,5,66.66,,,,,,,,
15,5,66.66,,,,,,,,
16,5,66.66,,,,,,,,
17,5,66.66,,,,,,,,
18,5,66.66,,,,,,,,
19,5,66.66,,,,,,,,
20,5,66.66,,,,,,,,
21,5,66.66,,,,,,,,
22,5,66.66,,,,,,,,
23,5,66.66,,,,,,,,
24,5,66.66,,,,,,,,
25,5,66.66,,,,,,,,
26,5,66.66,,,,,,,,
27,5,66.66,,,,,,,,
28,5,66.66,,,,,,,,
29,5,66.66,,,,,,,,
30,5,66.66,,,,,,,,
5,6,66.66,,,,,,,,
6,6,66.66,,,,,,,,
7,6,66.66,,,,,,,,
8,6,66.66,,,,,,,,
9,6,66.66,,,,,,,,
10,6,66.66,,,,,,,,
11,6,66.66,,,,,,,,
12,6,66.66,,,,,,,,
13,6,66.66,,,,,,,,
14,6,66.66,,,,,,,,
15,6,66.66,,,,,,,,
16,6,66.66,,,,,,,,
17,6,66.66,,,,,,,,
18,6,66.66,,,,,,,,
19,6,66.66,,,,,,,,
20,6,66.66,,,,,,,,
21,6,66.66,,,,,,,,
22,6,66.66,,,,,,,,
23,6,66.66,,,,,,,,
24,6,66.66,,,,,,,,
25,6,66.66,,,,,,,,
26,6,66.66,,,,,,,,
27,6,66.66,,,,,,,,
28,6,66.66,,,,,,,,
29,6,66.66,,,,,,,,
30,6,66.66,,,,,,,,
5,7,66.66,,,,,,,,
6,7,66.66,,,,,,,,
7,7,66.66,,,,,,,,
8,7,66.66,,,,,,,,
9,7,66.66,,,,,,,,
10,7,66.66,,,,,,,,
11,7,66.66,,,,,,,,
12,7,66.66,,,,,,,,
13,7,66.66,,,,,,,,
14,7,66.66,,,,,,,,
15,7,66.66,,,,,,,,
16,7,66.66,,,,,,,,
17,7,66.66,,,,,,,,
18,7,66.66,,,,,,,,
19,7,66.66,,,,,,,,
20,7,66.66,,,,,,,,
21,7,66.66,,,,,,,,
22,7,66.66,,,,,,,,
23,7,66.66,,,,,,,,
24,7,66.66,,,,,,,,
25,7,66.66,,,,,,,,
26,7,66.66,,,,,,,,
27,7,66.66,,,,,,,,
28,7,66.66,,,,,,,,
29,7,66.66,,,,,,,,
30,7,66.66,,,,,,,,
5,8,66.66,,,,,,,,
6,8,66.66,,,,,,,,
7,8,66.66,,,,,,,,
8,8,66.66,,,,,,,,
9,8,66.66,,,,,,,,
10,8,66.66,,,,,,,,
11,8,66.66,,,,,,,,
12,8,66.66,,,,,,,,
13,8,66.66,,,,,,,,
14,8,66.66,,,,,,,,
15,8,66.66,,,,,,,,
16,8,66.66,,,,,,,,
17,8,66.66,,,,,,,,
18,8,66.66,,,,,,,,
19,8,66.66,,,,,,,,
20,8,66.66,,,,,,,,
21,8,66.66,,,,,,,,
22,8,66.66,,,,,,,,
23,8,66.66,,,,,,,,
24,8,66.66,,,,,,,,
25,8,66.66,,,,,,,,
26,8,66.66,,,,,,,,
27,8,66.66,,,,,,,,
28,8,66.66,,,,,,,,
29,8,66.66,,,,,,,,
30,8,66.66,,,,,,,,
5,9,66.66,,,,,,,,
6,9,66.66,,,,,,,,
7,9,66.66,,,,,,,,
8,9,66.66,,,,,,,,
9,9,66.66,,,,,,,,
10,9,66.66,,,,,,,,
11,9,66.66,,,,,,,,
12,9,66.66,,,,,,,,
13,9,66.66,,,,,,,,
14,9,66.66,,,,,,,,
15,9,66.66,,,,,,,,
16,9,66.66,,,,,,,,
17,9,66.66,,,,,,,,
18,9,66.66,,,,,,,,
