POINT_X,POINT_Y,POINT_Z
334353.6178,3682815.015,66.8015594
334355.6178,3682815.015,66.7650375
334351.6178,3682813.015,66.8232269
334353.6178,3682813.015,66.7915192
334355.6178,3682813.015,66.7607956
334357.6178,3682813.015,66.7332611
334349.6178,3682811.015,66.8331604
334351.6178,3682811.015,66.8076096
334353.6178,3682811.015,66.7810287
334355.6178,3682811.015,66.7551422
334357.6178,3682811.015,66.7315292
334359.6178,3682811.015,66.7109985
334347.6178,3682809.015,66.8374481
334349.6178,3682809.015,66.815979
334351.6178,3682809.015,66.7939072
334353.6178,3682809.015,66.7713318
334355.6178,3682809.015,66.7494278
334357.6178,3682809.015,66.7296143
334359.6178,3682809.015,66.7125015
334343.6178,3682807.015,67.0285416
334345.6178,3682807.015,67.0278854
334347.6178,3682807.015,67.0271912
334349.6178,3682807.015,66.8019714
334351.6178,3682807.015,66.7828903
334353.6178,3682807.015,66.7632065
334355.6178,3682807.015,66.7443695
334357.6178,3682807.015,66.7281189
334341.6178,3682805.015,67.0286942
334343.6178,3682805.015,67.0280151
334345.6178,3682805.015,67.0273209
334347.6178,3682805.015,67.0265884
334349.6178,3682805.015,67.025795
334351.6178,3682805.015,66.7754211
334353.6178,3682805.015,66.7568359
334355.6178,3682805.015,66.740097
334339.6178,3682803.015,67.028923
334341.6178,3682803.015,67.0282059
334343.6178,3682803.015,67.0274963
334345.6178,3682803.015,67.0267639
334347.6178,3682803.015,67.026001
334349.6178,3682803.015,67.0251541
334351.6178,3682803.015,67.0241776
334339.6178,3682801.015,67.0284729
334341.6178,3682801.015,67.0277328
334343.6178,3682801.015,67.0269928
334345.6178,3682801.015,67.0262299
334347.6178,3682801.015,67.0254364
334349.6178,3682801.015,67.0245743
334339.6178,3682799.015,67.0280457
334341.6178,3682799.015,67.0272751
334343.6178,3682799.015,67.0264969
334345.6178,3682799.015,67.0257111
334347.6178,3682799.015,67.0248871
334341.6178,3682797.015,67.0268326
334343.6178,3682797.015,67.0260239
334345.6178,3682797.015,67.0251999
