tempC,DO_dusk,elevation,Vol6.5,Vol6,Vol5.5,Vol5,Vol4.5,Vol4,Vol3.5,Vol3
5,5,66.57,0,0,0,0,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
6,5,66.57,0,0,0,0,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
7,5,66.57,0,0,0,2877.83999999993,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
8,5,66.57,0,0,0,10206.3999999997,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
9,5,66.57,0,0,0,13625.5999999996,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
10,5,66.57,0,0,0,13889.8399999996,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
11,5,66.57,0,0,0,13889.8399999996,21574.4399999995,24192.1599999995,24896.1599999995,24996.1599999995
12,5,66.57,0,0,0,16780.5599999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
13,5,66.57,0,0,0,16780.5599999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
14,5,66.57,0,0,0,16780.5599999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
15,5,66.57,0,0,5365.71999999986,16780.5599999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
16,5,66.57,0,0,10206.3999999997,16780.5599999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
17,5,66.57,0,0,10206.3999999997,19480.4399999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
18,5,66.57,0,0,10470.6399999996,19480.4399999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
19,5,66.57,0,0,13889.8399999996,19480.4399999995,22787.5199999995,24192.1599999995,24896.1599999995,24996.1599999995
20,5,66.57,0,0,13889.8399999996,19480.4399999995,23444.1599999995,24192.1599999995,24896.1599999995,24996.1599999995
21,5,66.57,0,5365.71999999986,13889.8399999996,19480.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995
22,5,66.57,0,6908.19999999975,13889.8399999996,19480.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995
23,5,66.57,0,10206.3999999997,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
24,5,66.57,0,10206.3999999997,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
25,5,66.57,0,10470.6399999996,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
26,5,66.57,4030.35999999982,10470.6399999996,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
27,5,66.57,6908.19999999975,13889.8399999996,16780.5599999995,21574.4399999995,23884.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
28,5,66.57,6908.19999999975,13889.8399999996,19480.4399999995,21574.4399999995,23884.1599999995,24444.1599999995,24960.1599999995,24996.1599999995
29,5,66.57,10206.3999999997,13889.8399999996,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995
30,5,66.57,10470.6399999996,13889.8399999996,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995
5,6,66.57,0,0,19480.4399999995,23444.1599999995,24444.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
6,6,66.57,0,0,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
7,6,66.57,0,2877.83999999993,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
8,6,66.57,0,10206.3999999997,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
9,6,66.57,0,10206.3999999997,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
10,6,66.57,0,13625.5999999996,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
11,6,66.57,0,13889.8399999996,19480.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
12,6,66.57,0,13889.8399999996,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
13,6,66.57,0,13889.8399999996,21574.4399999995,23444.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
14,6,66.57,0,13889.8399999996,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
15,6,66.57,5365.71999999986,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
16,6,66.57,6908.19999999975,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
17,6,66.57,10206.3999999997,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
18,6,66.57,10206.3999999997,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
19,6,66.57,10470.6399999996,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
20,6,66.57,10470.6399999996,16780.5599999995,21574.4399999995,23444.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
21,6,66.57,13889.8399999996,16780.5599999995,21574.4399999995,23884.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
22,6,66.57,13889.8399999996,19480.4399999995,21574.4399999995,23884.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
23,6,66.57,13889.8399999996,19480.4399999995,22787.5199999995,23884.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
24,6,66.57,13889.8399999996,19480.4399999995,22787.5199999995,23884.1599999995,24444.1599999995,24896.1599999995,24996.1599999995,24996.1599999995
25,6,66.57,13889.8399999996,19480.4399999995,22787.5199999995,23884.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
26,6,66.57,16780.5599999995,19480.4399999995,22787.5199999995,23884.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
27,6,66.57,16780.5599999995,19480.4399999995,22787.5199999995,23884.1599999995,24444.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
28,6,66.57,16780.5599999995,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
29,6,66.57,16780.5599999995,21574.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
30,6,66.57,16780.5599999995,21574.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995
5,7,66.57,16780.5599999995,22787.5199999995,24192.1599999995,24828.1599999995,24996.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
6,7,66.57,16780.5599999995,22787.5199999995,24192.1599999995,24828.1599999995,24996.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
7,7,66.57,16780.5599999995,22787.5199999995,23884.1599999995,24688.1599999995,24996.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
8,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24996.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
9,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24996.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
10,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
11,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
12,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
13,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
14,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
15,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
16,7,66.57,19480.4399999995,22787.5199999995,23884.1599999995,24688.1599999995,24960.1599999995,24996.1599999995,24996.1599999995,24996.1599999995
