"","Year","Month","x","var","Days","Group","Total","CIhigh","CIlow"
"1","2019",3,28.6666666666667,35165.4814814815,31,"Bank",888.666666666667,1256.21491337621,521.118419957123
"2","2019",4,33.6,111168,30,"Bank",1008,1661.50056526372,354.499434736281
"3","2019",5,24,3844,31,"Bank",744,865.52,622.48
"4","2019",6,32,115200,30,"Bank",960,1625.2460597403,294.753940259696
"5","2019",7,12,15376,31,"Bank",372,615.04,128.96
"6","2019",8,5.33333333333333,9111.7037037037,31,"Bank",165.333333333333,352.425612565129,0
"7","2019",9,2.66666666666667,2133.33333333333,30,"Bank",80,170.528522208933,0
"8","2019",10,5.33333333333333,3986.37037037037,31,"Bank",165.333333333333,289.08324410023,41.5834225664369
"9","2020",3,24,129841.777777778,31,"Bank",744,1450.25786615875,37.7421338412498
"10","2020",5,90.7619047619048,227713.41723356,31,"Bank",2813.61904761905,3748.9178574357,1878.3202378024
"11","2020",6,55.2380952380952,43330.612244898,30,"Bank",1657.14285714286,2065.13658258481,1249.14913170091
"12","2020",7,8.85714285714286,5238.6485260771,31,"Bank",274.571428571429,416.433305683561,132.709551459296
"13","2020",8,15.4571428571429,4267.88598639456,31,"Bank",479.171428571429,607.216384760001,351.126472382857
"14","2020",9,16.647619047619,34.3945578231293,30,"Bank",499.428571428571,510.923358652932,487.93378420421
"15","2020",10,7.66666666666667,2171.14814814815,31,"Bank",237.666666666667,328.99400499384,146.339328339494
