"","year","doy","decimal.time","Cypress","Gauge","Intake"
"1",2019,"127",12,68.43112,NA,NA
"2",2019,"127",12.5,68.43312,NA,NA
"3",2019,"127",13,68.42912,68.42721,NA
"4",2019,"127",13.5,68.42912,68.42721,NA
"5",2019,"127",14,68.42812,68.42721,NA
"6",2019,"127",14.5,68.43112,68.42721,NA
"7",2019,"127",15,68.43212,68.42721,NA
"8",2019,"127",15.5,68.42912,68.42721,NA
"9",2019,"127",16,68.43212,68.42721,NA
"10",2019,"127",16.5,68.43112,68.42621,NA
"11",2019,"127",17,68.43012,68.42721,NA
"12",2019,"127",17.5,68.42812,68.42621,NA
"13",2019,"127",18,68.42812,68.42621,NA
"14",2019,"127",18.5,68.42912,68.42721,NA
"15",2019,"127",19,68.42812,68.42421,NA
"16",2019,"127",19.5,68.42712,68.42521,NA
"17",2019,"127",20,68.43012,68.42921,NA
"18",2019,"127",20.5,68.43212,68.43021,NA
"19",2019,"127",21,68.43112,68.42821,NA
"20",2019,"127",21.5,68.43312,68.42821,NA
"21",2019,"127",22,68.43212,68.42921,NA
"22",2019,"127",22.5,68.43212,68.42921,NA
"23",2019,"127",23,68.43112,68.43021,NA
"24",2019,"127",23.5,68.43212,68.42921,NA
"25",2019,"128",0,68.43112,68.42821,NA
"26",2019,"128",0.5,68.43112,68.43021,NA
"27",2019,"128",1,68.42912,68.42621,NA
"28",2019,"128",1.5,68.43012,68.42721,NA
"29",2019,"128",2,68.42912,68.42821,NA
"30",2019,"128",2.5,68.42912,68.42521,NA
"31",2019,"128",3,68.43212,68.42321,NA
"32",2019,"128",3.5,68.42912,68.42521,NA
"33",2019,"128",4,68.43012,68.42521,NA
"34",2019,"128",4.5,68.42912,68.42521,NA
"35",2019,"128",5,68.42712,68.42521,NA
"36",2019,"128",5.5,68.43012,68.42521,NA
"37",2019,"128",6,68.42612,68.42421,NA
"38",2019,"128",6.5,68.42512,68.42221,NA
"39",2019,"128",7,68.42312,68.42221,NA
"40",2019,"128",7.5,68.42312,68.42021,NA
"41",2019,"128",8,68.42112,68.41721,NA
"42",2019,"128",8.5,68.42012,68.41621,NA
"43",2019,"128",9,68.41612,68.41421,NA
"44",2019,"128",9.5,68.41412,68.41121,NA
"45",2019,"128",10,68.41312,68.41221,NA
"46",2019,"128",10.5,68.41312,68.41021,NA
