dowy	Date	Month	Day	Macon Q (cfs)	Bluff Q est (cfs)
1	10/1/2011	10	1	125	35.8
2	10/2/2011	10	2	116	33.2
3	10/3/2011	10	3	111	31.8
4	10/4/2011	10	4	106	30.4
5	10/5/2011	10	5	95.4	27.3
6	10/6/2011	10	6	90.9	26
7	10/7/2011	10	7	86.9	24.9
8	10/8/2011	10	8	84.3	24.1
9	10/9/2011	10	9	79.9	22.9
10	10/10/2011	10	10	76.9	22
11	10/11/2011	10	11	75.7	21.7
12	10/12/2011	10	12	75.2	21.5
13	10/13/2011	10	13	76.4	21.9
14	10/14/2011	10	14	79.2	22.7
15	10/15/2011	10	15	79.3	22.7
16	10/16/2011	10	16	70.5	20.2
17	10/17/2011	10	17	64.6	18.5
18	10/18/2011	10	18	63.6	18.2
19	10/19/2011	10	19	61.7	17.7
20	10/20/2011	10	20	60.5	17.3
21	10/21/2011	10	21	60.5	17.3
22	10/22/2011	10	22	60.1	17.2
23	10/23/2011	10	23	58.4	16.7
24	10/24/2011	10	24	59.6	17.1
25	10/25/2011	10	25	64.4	18.4
26	10/26/2011	10	26	63.3	18.1
27	10/27/2011	10	27	61.4	17.6
28	10/28/2011	10	28	61.3	17.6
29	10/29/2011	10	29	62	17.8
30	10/30/2011	10	30	64.2	18.4
31	10/31/2011	10	31	63.6	18.2
32	11/1/2011	11	1	62.5	17.9
33	11/2/2011	11	2	62.5	17.9
34	11/3/2011	11	3	63.3	18.1
35	11/4/2011	11	4	65.3	18.7
36	11/5/2011	11	5	70	20.1
37	11/6/2011	11	6	71.1	20.4
38	11/7/2011	11	7	71.1	20.4
39	11/8/2011	11	8	71.4	20.5
40	11/9/2011	11	9	71.1	20.4
41	11/10/2011	11	10	70.5	20.2
42	11/11/2011	11	11	67.7	19.4
43	11/12/2011	11	12	65.5	18.8
44	11/13/2011	11	13	64.3	18.4
45	11/14/2011	11	14	64.7	18.5
46	11/15/2011	11	15	65.8	18.8
47	11/16/2011	11	16	68.9	19.7
48	11/17/2011	11	17	75.7	21.7
49	11/18/2011	11	18	87.8	25.2
50	11/19/2011	11	19	79.2	22.7
51	11/20/2011	11	20	75.6	21.7
52	11/21/2011	11	21	76.6	21.9
53	11/22/2011	11	22	85.6	24.5
54	11/23/2011	11	23	90.4	25.9
55	11/24/2011	11	24	95.4	27.3
56	11/25/2011	11	25	93.3	26.7
57	11/26/2011	11	26	85.9	24.6
58	11/27/2011	11	27	112	32.1
59	11/28/2011	11	28	146	41.8
60	11/29/2011	11	29	161	46.1
61	11/30/2011	11	30	184	52.7
62	12/1/2011	12	1	217	62.2
63	12/2/2011	12	2	194	55.6
64	12/3/2011	12	3	162	46.4
65	12/4/2011	12	4	136	39
66	12/5/2011	12	5	121	34.7
67	12/6/2011	12	6	118	33.8
68	12/7/2011	12	7	136	39
69	12/8/2011	12	8	153	43.8
70	12/9/2011	12	9	156	44.7
71	12/10/2011	12	10	151	43.3
72	12/11/2011	12	11	149	42.7
73	12/12/2011	12	12	142	40.7
74	12/13/2011	12	13	133	38.1
75	12/14/2011	12	14	126	36.1
76	12/15/2011	12	15	126	36.1
77	12/16/2011	12	16	163	46.7
78	12/17/2011	12	17	304	87.1
79	12/18/2011	12	18	343	98.3
80	12/19/2011	12	19	381	109.1
81	12/20/2011	12	20	413	118.3
82	12/21/2011	12	21	350	100.3
83	12/22/2011	12	22	383	109.7
84	12/23/2011	12	23	897	257
85	12/24/2011	12	24	859	246.1
86	12/25/2011	12	25	1250	358.1
87	12/26/2011	12	26	2060	590.1
88	12/27/2011	12	27	4430	1269
89	12/28/2011	12	28	4230	1211.7
90	12/29/2011	12	29	3280	939.6
91	12/30/2011	12	30	2260	647.4
92	12/31/2011	12	31	2150	615.9
93	1/1/2012	1	1	1900	544.3
94	1/2/2012	1	2	1700	487
95	1/3/2012	1	3	1300	372.4
96	1/4/2012	1	4	850	243.5
97	1/5/2012	1	5	456	130.6
98	1/6/2012	1	6	374	107.1
