"","Date","Discharge_cfs","Discharge_cms","month","year","day","DeltaCMS","meanCMS","DeltaVol","Date2","fishD","yr_month","volume"
"1",1945-01-01,NA,NA,1,1945,1,NA,NA,1452.34950878415,1945-01-01,0,"1945-1",95581226
"2",1945-01-02,1900,53.8020093,1,1945,2,-3.96435858,53.8020093,1536.13597798061,1945-01-02,325600,"1945-1",95257162.135978
"3",1945-01-03,1500,42.4752705,1,1945,3,-11.3267388,42.4752705,1582.70558014081,1945-01-03,0,"1945-1",95258744.8415581
"4",1945-01-04,1200,33.9802164,1,1945,4,-8.4950541,33.9802164,1607.00383018357,1945-01-04,0,"1945-1",95260351.8453883
"5",1945-01-05,900,25.4851623,1,1945,5,-8.4950541,25.4851623,1627.8013120326,1945-01-05,0,"1945-1",95261979.6467003
"6",1945-01-06,700,19.8217929,1,1945,6,-5.6633694,19.8217929,1619.99864859632,1945-01-06,0,"1945-1",95263599.6453489
"7",1945-01-07,2500,70.7921175,1,1945,7,50.9703246,70.7921175,1386.13938278733,1945-01-07,0,"1945-1",95264985.7847317
"8",1945-01-08,2400,67.9604328,1,1945,8,-2.8316847,67.9604328,1413.16218742651,1945-01-08,0,"1945-1",95266398.9469192
"9",1945-01-09,2300,65.1287481,1,1945,9,-2.83168470000001,65.1287481,1441.56342691866,1945-01-09,0,"1945-1",95267840.5103461
"10",1945-01-10,2000,56.633694,1,1945,10,-8.4950541,56.633694,1517.20169150714,1945-01-10,0,"1945-1",95269357.7120376
"11",1945-01-11,1500,42.4752705,1,1945,11,-14.1584235,42.4752705,1582.70558014081,1945-01-11,0,"1945-1",95270940.4176177
"12",1945-01-12,1000,28.316847,1,1945,12,-14.1584235,28.316847,1622.97417644664,1945-01-12,0,"1945-1",95272563.3917942
"13",1945-01-13,560,15.85743432,1,1945,13,-12.45941268,15.85743432,1590.75537858068,1945-01-13,0,"1945-1",95274154.1471727
"14",1945-01-14,640,18.12278208,1,1945,14,2.26534776,18.12278208,1610.43935096735,1945-01-14,0,"1945-1",95275764.5865237
"15",1945-01-15,750,21.23763525,1,1945,15,3.11485317,21.23763525,1625.00837588,1945-01-15,325600,"1945-1",94951789.5948996
"16",1945-01-16,640,18.12278208,1,1945,16,-3.11485317,18.12278208,1610.43935096735,1945-01-16,0,"1945-1",94953400.0342506
"17",1945-01-17,500,14.1584235,1,1945,17,-3.96435858,14.1584235,1570.2658326869,1945-01-17,0,"1945-1",94954970.3000832
"18",1945-01-18,360,10.19406492,1,1945,18,-3.96435858,10.19406492,1502.50656774955,1945-01-18,0,"1945-1",94956472.806651
