Date	Month	Day	Macon Q (cfs)	Bluff Q est (cfs)
10/1/2011	10	01	125	35.8
10/2/2011	10	02	116	33.2
10/3/2011	10	03	111	31.8
10/4/2011	10	04	106	30.4
10/5/2011	10	05	95.4	27.3
10/6/2011	10	06	90.9	26.0
10/7/2011	10	07	86.9	24.9
10/8/2011	10	08	84.3	24.1
10/9/2011	10	09	79.9	22.9
10/10/2011	10	10	76.9	22.0
10/11/2011	10	11	75.7	21.7
10/12/2011	10	12	75.2	21.5
10/13/2011	10	13	76.4	21.9
10/14/2011	10	14	79.2	22.7
10/15/2011	10	15	79.3	22.7
10/16/2011	10	16	70.5	20.2
10/17/2011	10	17	64.6	18.5
10/18/2011	10	18	63.6	18.2
10/19/2011	10	19	61.7	17.7
10/20/2011	10	20	60.5	17.3
10/21/2011	10	21	60.5	17.3
10/22/2011	10	22	60.1	17.2
10/23/2011	10	23	58.4	16.7
10/24/2011	10	24	59.6	17.1
10/25/2011	10	25	64.4	18.4
10/26/2011	10	26	63.3	18.1
10/27/2011	10	27	61.4	17.6
10/28/2011	10	28	61.3	17.6
10/29/2011	10	29	62	17.8
10/30/2011	10	30	64.2	18.4
10/31/2011	10	31	63.6	18.2
11/1/2011	11	01	62.5	17.9
11/2/2011	11	02	62.5	17.9
11/3/2011	11	03	63.3	18.1
11/4/2011	11	04	65.3	18.7
11/5/2011	11	05	70	20.1
11/6/2011	11	06	71.1	20.4
11/7/2011	11	07	71.1	20.4
11/8/2011	11	08	71.4	20.5
11/9/2011	11	09	71.1	20.4
11/10/2011	11	10	70.5	20.2
11/11/2011	11	11	67.7	19.4
11/12/2011	11	12	65.5	18.8
11/13/2011	11	13	64.3	18.4
11/14/2011	11	14	64.7	18.5
11/15/2011	11	15	65.8	18.8
11/16/2011	11	16	68.9	19.7
11/17/2011	11	17	75.7	21.7
11/18/2011	11	18	87.8	25.2
11/19/2011	11	19	79.2	22.7
11/20/2011	11	20	75.6	21.7
11/21/2011	11	21	76.6	21.9
11/22/2011	11	22	85.6	24.5
11/23/2011	11	23	90.4	25.9
11/24/2011	11	24	95.4	27.3
11/25/2011	11	25	93.3	26.7
11/26/2011	11	26	85.9	24.6
11/27/2011	11	27	112	32.1
11/28/2011	11	28	146	41.8
11/29/2011	11	29	161	46.1
11/30/2011	11	30	184	52.7
12/1/2011	12	01	217	62.2
12/2/2011	12	02	194	55.6
12/3/2011	12	03	162	46.4
12/4/2011	12	04	136	39.0
12/5/2011	12	05	121	34.7
12/6/2011	12	06	118	33.8
12/7/2011	12	07	136	39.0
12/8/2011	12	08	153	43.8
12/9/2011	12	09	156	44.7
12/10/2011	12	10	151	43.3
12/11/2011	12	11	149	42.7
12/12/2011	12	12	142	40.7
12/13/2011	12	13	133	38.1
